trial_index,subtask,session,loop,trial_id_global,category,sentence,sentence_frame,foil_sentence,foil_sentence_frame,foil_type,chunk_frequency_type,gj_grammatical,gj_error_type,held_out_probe_type,held_out_probe_instance,distractor_words,all_words,previous_encounters,trial_type
29,passive,1,1,29,target,OBJ.N5 SBJ.N3 HIDE-TR LOC.N4,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,passive
30,passive,1,1,30,target,OBJ.N5 SBJ.N1 REVEAL-TR LOC.N2,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,passive
31,passive,1,1,31,target,OBJ.N5 SBJ.N4 PUSH-TR LOC.N2,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,passive
32,passive,1,1,32,target,OBJ.N5 SBJ.N4 HIDE-TR LOC.N1,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,passive
33,passive,1,1,33,target,Ab SBJ.N2 JUMP-INTR,SBJ-V.INTR,,,,,,,,,,,,passive
34,passive,1,1,34,target,OBJ.N5 Ab SBJ.N4 REVEAL-TR,OBJ-SBJ-V.TR,,,,,,,,,,,,passive
35,passive,1,1,35,target,OBJ.N5 SBJ.N3 PUSH-TR LOC.N1,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,passive
36,passive,1,1,36,target,Ab SBJ.N4 HIDE-INTR,SBJ-V.INTR,,,,,,,,,,,,passive
37,passive,1,1,37,target,SBJ.N4 HIDE-INTR LOC.N1,SBJ-V.INTR-LOC,,,,,,,,,,,,passive
38,passive,1,1,38,target,SBJ.N5 JUMP-INTR LOC.N2,SBJ-V.INTR-LOC,,,,,,,,,,,,passive
39,passive,1,1,39,target,SBJ.N5 GO-INTR LOC.N4,SBJ-V.INTR-LOC,,,,,,,,,,,,passive
40,passive,1,1,40,target,SBJ.N3 HIDE-INTR LOC.N4,SBJ-V.INTR-LOC,,,,,,,,,,,,passive
41,passive,1,1,41,target,SBJ.N5 JUMP-INTR LOC.N4,SBJ-V.INTR-LOC,,,,,,,,,,,,passive
42,passive,1,1,42,target,OBJ.N5 Ab SBJ.N1 PUSH-TR,OBJ-SBJ-V.TR,,,,,,,,,,,,passive
