wordLearning.exposure.itemIdx,wordLearning.exposure.pass,wordLearning.exposure.image,wordLearning.exposure.audio,wordLearning.test.started,wordLearning.test.targetIdx,wordLearning.test.targetImage,wordLearning.test.optionOrder,wordLearning.test.responseIdx,wordLearning.test.correct,wordLearning.test.streakAfter,wordLearning.test.masteredSnapshot,passiveTrial.started,passive.sessionIndex,passive.movie,passive.sound,passiveTrial.stopped,passiveSelfPaceKey.keys,passiveSelfPaceKey.rt,passiveSelfPaceKey.duration,passiveTrials_s1.thisRepN,passiveTrials_s1.thisTrialN,passiveTrials_s1.thisN,passiveTrials_s1.thisIndex,passiveTrials_s1.ran,sessionIndex,passiveMovie,passiveSound,participant,születési dátum (ÉÉÉÉ.HH.NN),date,expName,psychopyVersion,OS,frameRate,comprehensionTrial.started,comprehension.sessionIndex,comprehension.correctPosition,comprehension.response,comprehension.rt,comprehension.correct,comprehension.t_sentenceAudioEnd,comprehension.t_lastChoiceClick,comprehensionTrial.stopped,comprehensionTrials_s1.thisRepN,comprehensionTrials_s1.thisTrialN,comprehensionTrials_s1.thisN,comprehensionTrials_s1.thisIndex,comprehensionTrials_s1.ran,sentence,video_correct,video_incorrect,productionTrial.started,production.sessionIndex,production.video,production.correct_words,production.all_words,production.correct_words_form,production.all_words_form,production.response,production.correct,production.t_firstVideoEnd,production.t_lastWordClick,productionTrial.stopped,productionTrials_s1.thisRepN,productionTrials_s1.thisTrialN,productionTrials_s1.thisN,productionTrials_s1.thisIndex,productionTrials_s1.ran,video,correct_words,all_words,sentence_form,correct_words_form,all_words_form
,,,,,,,,,,,,306.0712,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,320.1222,mouse_continue,14.051,,0,17,17,17,1,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,320.1231,1,SBJ-N5-JUMP-INTR.mp4,SBJ-N5-JUMP-INTR.mp3,325.6723,mouse_continue,5.5492,,0,18,18,18,1,1,SBJ-N5-JUMP-INTR.mp4,SBJ-N5-JUMP-INTR.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,325.6732,1,SBJ-N3-GO-INTR.mp4,GO-INTR-SBJ-N3.mp3,331.7723,mouse_continue,6.0992,,0,19,19,19,1,1,SBJ-N3-GO-INTR.mp4,GO-INTR-SBJ-N3.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,331.7731,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,339.4225,mouse_continue,7.6494,,0,20,20,20,1,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,339.4235,1,OBJ-N5-SBJ-N1-REVEAL-TR.mp4,REVEAL-TR-SBJ-N1-OBJ-N5.mp3,345.055,mouse_continue,5.6316,,0,21,21,21,1,1,OBJ-N5-SBJ-N1-REVEAL-TR.mp4,REVEAL-TR-SBJ-N1-OBJ-N5.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,345.0555,1,OBJ-N5-SBJ-N2-PUSH-TR-LOC-N4.mp4,SBJ-N2-LOC-N4-OBJ-N5-PUSH-TR.mp3,350.9391,mouse_continue,5.8834,,0,22,22,22,1,1,OBJ-N5-SBJ-N2-PUSH-TR-LOC-N4.mp4,SBJ-N2-LOC-N4-OBJ-N5-PUSH-TR.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,350.9399,1,SBJ-N4-REVEAL-INTR-LOC-N5.mp4,REVEAL-INTR-SBJ-N4-LOC-N5.mp3,357.0225,mouse_continue,6.0827,,0,23,23,23,1,1,SBJ-N4-REVEAL-INTR-LOC-N5.mp4,REVEAL-INTR-SBJ-N4-LOC-N5.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,357.0234,1,OBJ-N5-SBJ-N1-HIDE-TR-LOC-N2.mp4,SBJ-N1-LOC-N2-HIDE-TR-OBJ-N5.mp3,363.2383,mouse_continue,6.2148,,0,24,24,24,1,1,OBJ-N5-SBJ-N1-HIDE-TR-LOC-N2.mp4,SBJ-N1-LOC-N2-HIDE-TR-OBJ-N5.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,363.2394,1,SBJ-N2-REVEAL-INTR-LOC-N5.mp4,REVEAL-INTR-SBJ-N2-LOC-N5.mp3,369.1385,mouse_continue,5.899,,0,25,25,25,1,1,SBJ-N2-REVEAL-INTR-LOC-N5.mp4,REVEAL-INTR-SBJ-N2-LOC-N5.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,369.1394,1,OBJ-N5-SBJ-N1-PUSH-TR-LOC-N2.mp4,OBJ-N5-PUSH-TR-SBJ-N1-LOC-N2.mp3,374.8888,mouse_continue,5.7497,,0,26,26,26,1,1,OBJ-N5-SBJ-N1-PUSH-TR-LOC-N2.mp4,OBJ-N5-PUSH-TR-SBJ-N1-LOC-N2.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,374.8893,1,SBJ-N3-REVEAL-INTR-LOC-N4.mp4,SBJ-N3-REVEAL-INTR-LOC-N4.mp3,380.7728,mouse_continue,5.8834,,0,27,27,27,1,1,SBJ-N3-REVEAL-INTR-LOC-N4.mp4,SBJ-N3-REVEAL-INTR-LOC-N4.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,380.774,1,OBJ-N5-SBJ-N4-HIDE-TR-LOC-N3.mp4,SBJ-N4-OBJ-N5-LOC-N3-HIDE-TR.mp3,387.3398,mouse_continue,6.5657,,0,28,28,28,1,1,OBJ-N5-SBJ-N4-HIDE-TR-LOC-N3.mp4,SBJ-N4-OBJ-N5-LOC-N3-HIDE-TR.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,387.341,1,OBJ-N5-SBJ-N3-REVEAL-TR-LOC-N4.mp4,OBJ-N5-LOC-N4-SBJ-N3-REVEAL-TR.mp3,394.3061,mouse_continue,6.9654,,0,29,29,29,1,1,OBJ-N5-SBJ-N3-REVEAL-TR-LOC-N4.mp4,OBJ-N5-LOC-N4-SBJ-N3-REVEAL-TR.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,394.3069,1,OBJ-N5-SBJ-N2-PUSH-TR-LOC-N4.mp4,SBJ-N2-LOC-N4-OBJ-N5-PUSH-TR.mp3,400.1562,mouse_continue,5.8493,,0,30,30,30,1,1,OBJ-N5-SBJ-N2-PUSH-TR-LOC-N4.mp4,SBJ-N2-LOC-N4-OBJ-N5-PUSH-TR.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,400.157,1,OBJ-N5-SBJ-N1-REVEAL-TR.mp4,REVEAL-TR-SBJ-N1-OBJ-N5.mp3,405.8897,mouse_continue,5.7326,,0,31,31,31,1,1,OBJ-N5-SBJ-N1-REVEAL-TR.mp4,REVEAL-TR-SBJ-N1-OBJ-N5.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,405.8908,1,OBJ-N5-SBJ-N4-HIDE-TR-LOC-N2.mp4,OBJ-N5-HIDE-TR-LOC-N2-SBJ-N4.mp3,411.9897,mouse_continue,6.099,,0,32,32,32,1,1,OBJ-N5-SBJ-N4-HIDE-TR-LOC-N2.mp4,OBJ-N5-HIDE-TR-LOC-N2-SBJ-N4.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,411.9906,1,SBJ-N5-JUMP-INTR.mp4,SBJ-N5-JUMP-INTR.mp3,417.6893,mouse_continue,5.6986,,0,33,33,33,1,1,SBJ-N5-JUMP-INTR.mp4,SBJ-N5-JUMP-INTR.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,417.6904,1,Aa-SBJ-N5-HIDE-INTR.mp4,HIDE-INTR-Aa-SBJ-N5.mp3,423.5564,mouse_continue,5.8661,,0,34,34,34,1,1,Aa-SBJ-N5-HIDE-INTR.mp4,HIDE-INTR-Aa-SBJ-N5.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,423.5573,1,SBJ-N5-GO-INTR-LOC-N3.mp4,GO-INTR-SBJ-N5-LOC-N3.mp3,429.5227,mouse_continue,5.9657,,0,35,35,35,1,1,SBJ-N5-GO-INTR-LOC-N3.mp4,GO-INTR-SBJ-N5-LOC-N3.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,429.5232,1,SBJ-N2-JUMP-INTR-LOC-N1.mp4,LOC-N1-SBJ-N2-JUMP-INTR.mp3,435.0395,mouse_continue,5.5163,,0,36,36,36,1,1,SBJ-N2-JUMP-INTR-LOC-N1.mp4,LOC-N1-SBJ-N2-JUMP-INTR.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,435.04,1,SBJ-N3-GO-INTR-LOC-N2.mp4,LOC-N2-GO-INTR-SBJ-N3.mp3,440.5399,mouse_continue,5.4997,,0,37,37,37,1,1,SBJ-N3-GO-INTR-LOC-N2.mp4,LOC-N2-GO-INTR-SBJ-N3.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,440.541,1,SBJ-N5-HIDE-INTR-LOC-N3.mp4,SBJ-N5-HIDE-INTR-LOC-N3.mp3,446.5729,mouse_continue,6.0321,,0,38,38,38,1,1,SBJ-N5-HIDE-INTR-LOC-N3.mp4,SBJ-N5-HIDE-INTR-LOC-N3.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,446.5734,1,SBJ-N1-HIDE-INTR-LOC-N3.mp4,SBJ-N1-LOC-N3-HIDE-INTR.mp3,462.6221,mouse_continue,16.0487,,0,39,39,39,1,1,SBJ-N1-HIDE-INTR-LOC-N3.mp4,SBJ-N1-LOC-N3-HIDE-INTR.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,462.6224,1,OBJ-N5-SBJ-N4-HIDE-TR.mp4,SBJ-N4-HIDE-TR-OBJ-N5.mp3,474.2732,mouse_continue,11.6507,,0,40,40,40,1,1,OBJ-N5-SBJ-N4-HIDE-TR.mp4,SBJ-N4-HIDE-TR-OBJ-N5.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,474.2735,1,OBJ-N5-SBJ-N1-HIDE-TR-LOC-N2.mp4,SBJ-N1-LOC-N2-HIDE-TR-OBJ-N5.mp3,492.1242,mouse_continue,17.8504,,0,41,41,41,1,1,OBJ-N5-SBJ-N1-HIDE-TR-LOC-N2.mp4,SBJ-N1-LOC-N2-HIDE-TR-OBJ-N5.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,530.1948,1,2,2,28.6972,1,26.9305,28.6972,561.1585,0,0,0,0,1,SBJ-N2-HIDE-TR-OBJ-N5.mp3,OBJ-N5-SBJ-N2-HIDE-TR.mp4,OBJ-N5-SBJ-N2-REVEAL-TR.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,561.1594,1,2,2,23.1484,1,24.0485,23.1484,586.7251,0,1,1,1,1,HIDE-INTR-SBJ-N5.mp3,SBJ-N5-HIDE-INTR.mp4,SBJ-N5-GO-INTR.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,586.726,1,1,1,14.4654,1,13.5821,14.4654,603.0418,0,2,2,2,1,SBJ-N5-JUMP-INTR.mp3,SBJ-N5-JUMP-INTR.mp4,SBJ-N5-HIDE-INTR.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,603.0427,1,2,2,15.9983,1,16.5148,15.9983,620.9088,0,3,3,3,1,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N3-SBJ-N5-PUSH-TR.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,620.9095,1,1,1,35.1824,1,26.5656,35.1824,658.2423,0,4,4,4,1,SBJ-N3-OBJ-N5-PUSH-TR.mp3,OBJ-N5-SBJ-N3-PUSH-TR.mp4,OBJ-N3-SBJ-N5-PUSH-TR.mp4,,,,,,,,,,,,,,,,,,,,,,,
