trial_index,subtask,session,loop,trial_id_global,category,sentence,sentence_morph,sentence_form,sentence_frame,foil_sentence,foil_sentence_morph,foil_sentence_frame,foil_type,chunk_frequency_type,gj_grammatical,gj_error_type,held_out_probe_type,held_out_probe_instance,held_out_probe_instance_morph,correct_words,correct_words_form,distractor_words,all_words,all_words_form,previous_encounters,trial_type,audio_1,audio_2,video_1,video_2
11,passive,2,1,53,target,SBJ.N3 JUMP-INTR,JUMP-INTR SBJ.N3,bonip pif-zilép,SBJ-V.INTR,,,,,,,,,,,,,,,,,passive,JUMP-INTR-SBJ-N3.mp3,,SBJ-N3-JUMP-INTR.mp4,
12,passive,2,1,54,target,OBJ.N5 SBJ.N2 PUSH-TR,SBJ.N2 OBJ.N5 PUSH-TR,pif-murak fer-timó vánta,OBJ-SBJ-V.TR,,,,,,,,,,,,,,,,,passive,SBJ-N2-OBJ-N5-PUSH-TR.mp3,,OBJ-N5-SBJ-N2-PUSH-TR.mp4,
13,passive,2,1,55,target,OBJ.N5 SBJ.N1 HIDE-TR,OBJ.N5 HIDE-TR SBJ.N1,fer-timó zsübe pif-pekli,OBJ-SBJ-V.TR,,,,,,,,,,,,,,,,,passive,OBJ-N5-HIDE-TR-SBJ-N1.mp3,,OBJ-N5-SBJ-N1-HIDE-TR.mp4,
14,passive,2,1,56,target,SBJ.N2 HIDE-INTR,SBJ.N2 HIDE-INTR,pif-murak zsübe,SBJ-V.INTR,,,,,,,,,,,,,,,,,passive,SBJ-N2-HIDE-INTR.mp3,,SBJ-N2-HIDE-INTR.mp4,
15,passive,2,1,57,target,OBJ.N5 SBJ.N2 PUSH-TR,SBJ.N2 OBJ.N5 PUSH-TR,pif-murak fer-timó vánta,OBJ-SBJ-V.TR,,,,,,,,,,,,,,,,,passive,SBJ-N2-OBJ-N5-PUSH-TR.mp3,,OBJ-N5-SBJ-N2-PUSH-TR.mp4,
16,passive,2,1,58,target,SBJ.N3 GO-INTR,GO-INTR SBJ.N3,kávler pif-zilép,SBJ-V.INTR,,,,,,,,,,,,,,,,,passive,GO-INTR-SBJ-N3.mp3,,SBJ-N3-GO-INTR.mp4,
17,passive,2,1,59,target,SBJ.N4 REVEAL-INTR,REVEAL-INTR SBJ.N4,girda pif-dabi,SBJ-V.INTR,,,,,,,,,,,,,,,,,passive,REVEAL-INTR-SBJ-N4.mp3,,SBJ-N4-REVEAL-INTR.mp4,
18,passive,2,1,60,target,OBJ.N5 SBJ.N3 REVEAL-TR,OBJ.N5 REVEAL-TR SBJ.N3,fer-timó girda pif-zilép,OBJ-SBJ-V.TR,,,,,,,,,,,,,,,,,passive,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,
19,passive,2,1,61,target,SBJ.N5 JUMP-INTR,SBJ.N5 JUMP-INTR,pif-timó bonip,SBJ-V.INTR,,,,,,,,,,,,,,,,,passive,SBJ-N5-JUMP-INTR.mp3,,SBJ-N5-JUMP-INTR.mp4,
20,passive,2,1,62,target,SBJ.N3 GO-INTR,GO-INTR SBJ.N3,kávler pif-zilép,SBJ-V.INTR,,,,,,,,,,,,,,,,,passive,GO-INTR-SBJ-N3.mp3,,SBJ-N3-GO-INTR.mp4,
21,passive,2,1,63,target,OBJ.N5 SBJ.N3 REVEAL-TR,OBJ.N5 REVEAL-TR SBJ.N3,fer-timó girda pif-zilép,OBJ-SBJ-V.TR,,,,,,,,,,,,,,,,,passive,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,
22,passive,2,1,64,target,OBJ.N5 SBJ.N1 REVEAL-TR,REVEAL-TR SBJ.N1 OBJ.N5,girda pif-pekli fer-timó,OBJ-SBJ-V.TR,,,,,,,,,,,,,,,,,passive,REVEAL-TR-SBJ-N1-OBJ-N5.mp3,,OBJ-N5-SBJ-N1-REVEAL-TR.mp4,
23,passive,2,1,65,target,OBJ.N5 SBJ.N2 PUSH-TR LOC.N4,SBJ.N2 LOC.N4 OBJ.N5 PUSH-TR,pif-murak pa-dabi fer-timó vánta,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,,,,,,passive,SBJ-N2-LOC-N4-OBJ-N5-PUSH-TR.mp3,,OBJ-N5-SBJ-N2-PUSH-TR-LOC-N4.mp4,
24,passive,2,1,66,target,SBJ.N4 REVEAL-INTR LOC.N5,REVEAL-INTR SBJ.N4 LOC.N5,girda pif-dabi pa-timó,SBJ-V.INTR-LOC,,,,,,,,,,,,,,,,,passive,REVEAL-INTR-SBJ-N4-LOC-N5.mp3,,SBJ-N4-REVEAL-INTR-LOC-N5.mp4,
25,passive,2,1,67,target,OBJ.N5 SBJ.N1 HIDE-TR LOC.N2,SBJ.N1 LOC.N2 HIDE-TR OBJ.N5,pif-pekli pa-murak zsübe fer-timó,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,,,,,,passive,SBJ-N1-LOC-N2-HIDE-TR-OBJ-N5.mp3,,OBJ-N5-SBJ-N1-HIDE-TR-LOC-N2.mp4,
26,passive,2,1,68,target,SBJ.N2 REVEAL-INTR LOC.N5,REVEAL-INTR SBJ.N2 LOC.N5,girda pif-murak pa-timó,SBJ-V.INTR-LOC,,,,,,,,,,,,,,,,,passive,REVEAL-INTR-SBJ-N2-LOC-N5.mp3,,SBJ-N2-REVEAL-INTR-LOC-N5.mp4,
27,passive,2,1,69,target,OBJ.N5 SBJ.N1 PUSH-TR LOC.N2,OBJ.N5 PUSH-TR SBJ.N1 LOC.N2,fer-timó vánta pif-pekli pa-murak,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,,,,,,passive,OBJ-N5-PUSH-TR-SBJ-N1-LOC-N2.mp3,,OBJ-N5-SBJ-N1-PUSH-TR-LOC-N2.mp4,
28,passive,2,1,70,target,SBJ.N3 REVEAL-INTR LOC.N4,SBJ.N3 REVEAL-INTR LOC.N4,pif-zilép girda pa-dabi,SBJ-V.INTR-LOC,,,,,,,,,,,,,,,,,passive,SBJ-N3-REVEAL-INTR-LOC-N4.mp3,,SBJ-N3-REVEAL-INTR-LOC-N4.mp4,
29,passive,2,1,71,target,OBJ.N5 SBJ.N4 HIDE-TR LOC.N3,SBJ.N4 OBJ.N5 LOC.N3 HIDE-TR,pif-dabi fer-timó pa-zilép zsübe,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,,,,,,passive,SBJ-N4-OBJ-N5-LOC-N3-HIDE-TR.mp3,,OBJ-N5-SBJ-N4-HIDE-TR-LOC-N3.mp4,
30,passive,2,1,72,target,OBJ.N5 SBJ.N3 REVEAL-TR LOC.N4,OBJ.N5 LOC.N4 SBJ.N3 REVEAL-TR,fer-timó pa-dabi pif-zilép girda,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,,,,,,passive,OBJ-N5-LOC-N4-SBJ-N3-REVEAL-TR.mp3,,OBJ-N5-SBJ-N3-REVEAL-TR-LOC-N4.mp4,
31,passive,2,1,73,target,OBJ.N5 SBJ.N2 PUSH-TR LOC.N4,SBJ.N2 LOC.N4 OBJ.N5 PUSH-TR,pif-murak pa-dabi fer-timó vánta,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,,,,,,passive,SBJ-N2-LOC-N4-OBJ-N5-PUSH-TR.mp3,,OBJ-N5-SBJ-N2-PUSH-TR-LOC-N4.mp4,
32,passive,2,1,74,target,OBJ.N5 SBJ.N1 REVEAL-TR,REVEAL-TR SBJ.N1 OBJ.N5,girda pif-pekli fer-timó,OBJ-SBJ-V.TR,,,,,,,,,,,,,,,,,passive,REVEAL-TR-SBJ-N1-OBJ-N5.mp3,,OBJ-N5-SBJ-N1-REVEAL-TR.mp4,
33,passive,2,1,75,target,OBJ.N5 SBJ.N4 HIDE-TR LOC.N2,OBJ.N5 HIDE-TR LOC.N2 SBJ.N4,fer-timó zsübe pa-murak pif-dabi,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,,,,,,passive,OBJ-N5-HIDE-TR-LOC-N2-SBJ-N4.mp3,,OBJ-N5-SBJ-N4-HIDE-TR-LOC-N2.mp4,
34,passive,2,1,76,target,SBJ.N5 JUMP-INTR,SBJ.N5 JUMP-INTR,pif-timó bonip,SBJ-V.INTR,,,,,,,,,,,,,,,,,passive,SBJ-N5-JUMP-INTR.mp3,,SBJ-N5-JUMP-INTR.mp4,
35,passive,2,1,77,target,Aa SBJ.N5 HIDE-INTR,HIDE-INTR Aa SBJ.N5,zsübe gyék pif-timó,SBJ-V.INTR,,,,,,,,,,,,,,,,,passive,HIDE-INTR-Aa-SBJ-N5.mp3,,Aa-SBJ-N5-HIDE-INTR.mp4,
36,passive,2,1,78,target,SBJ.N5 GO-INTR LOC.N3,GO-INTR SBJ.N5 LOC.N3,kávler pif-timó pa-zilép,SBJ-V.INTR-LOC,,,,,,,,,,,,,,,,,passive,GO-INTR-SBJ-N5-LOC-N3.mp3,,SBJ-N5-GO-INTR-LOC-N3.mp4,
37,passive,2,1,79,target,SBJ.N2 JUMP-INTR LOC.N1,LOC.N1 SBJ.N2 JUMP-INTR,pa-pekli pif-murak bonip,SBJ-V.INTR-LOC,,,,,,,,,,,,,,,,,passive,LOC-N1-SBJ-N2-JUMP-INTR.mp3,,SBJ-N2-JUMP-INTR-LOC-N1.mp4,
38,passive,2,1,80,target,SBJ.N3 GO-INTR LOC.N2,LOC.N2 GO-INTR SBJ.N3,pa-murak kávler pif-zilép,SBJ-V.INTR-LOC,,,,,,,,,,,,,,,,,passive,LOC-N2-GO-INTR-SBJ-N3.mp3,,SBJ-N3-GO-INTR-LOC-N2.mp4,
39,passive,2,1,81,target,SBJ.N5 HIDE-INTR LOC.N3,SBJ.N5 HIDE-INTR LOC.N3,pif-timó zsübe pa-zilép,SBJ-V.INTR-LOC,,,,,,,,,,,,,,,,,passive,SBJ-N5-HIDE-INTR-LOC-N3.mp3,,SBJ-N5-HIDE-INTR-LOC-N3.mp4,
40,passive,2,1,82,target,SBJ.N1 HIDE-INTR LOC.N3,SBJ.N1 LOC.N3 HIDE-INTR,pif-pekli pa-zilép zsübe,SBJ-V.INTR-LOC,,,,,,,,,,,,,,,,,passive,SBJ-N1-LOC-N3-HIDE-INTR.mp3,,SBJ-N1-HIDE-INTR-LOC-N3.mp4,
41,passive,2,1,83,target,OBJ.N5 SBJ.N4 HIDE-TR,SBJ.N4 HIDE-TR OBJ.N5,pif-dabi zsübe fer-timó,OBJ-SBJ-V.TR,,,,,,,,,,,,,,,,,passive,SBJ-N4-HIDE-TR-OBJ-N5.mp3,,OBJ-N5-SBJ-N4-HIDE-TR.mp4,
42,passive,2,1,84,target,OBJ.N5 SBJ.N1 HIDE-TR LOC.N2,SBJ.N1 LOC.N2 HIDE-TR OBJ.N5,pif-pekli pa-murak zsübe fer-timó,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,,,,,,passive,SBJ-N1-LOC-N2-HIDE-TR-OBJ-N5.mp3,,OBJ-N5-SBJ-N1-HIDE-TR-LOC-N2.mp4,
1,comprehension,2,1,85,target,OBJ.N5 SBJ.N2 HIDE-TR,SBJ.N2 HIDE-TR OBJ.N5,pif-murak zsübe fer-timó,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N2 REVEAL-TR,SBJ.N2 REVEAL-TR OBJ.N5,OBJ-SBJ-V.TR,wrong_verb,,,,,,,,,,,,,comprehension,SBJ-N2-HIDE-TR-OBJ-N5.mp3,,OBJ-N5-SBJ-N2-HIDE-TR.mp4,OBJ-N5-SBJ-N2-REVEAL-TR.mp4
2,comprehension,2,1,86,target,SBJ.N5 HIDE-INTR,HIDE-INTR SBJ.N5,zsübe pif-timó,SBJ-V.INTR,SBJ.N5 GO-INTR,GO-INTR SBJ.N5,SBJ-V.INTR,wrong_verb,,,,,,,,,,,,,comprehension,HIDE-INTR-SBJ-N5.mp3,,SBJ-N5-HIDE-INTR.mp4,SBJ-N5-GO-INTR.mp4
3,comprehension,2,1,87,target,SBJ.N5 JUMP-INTR,SBJ.N5 JUMP-INTR,pif-timó bonip,SBJ-V.INTR,SBJ.N5 HIDE-INTR,HIDE-INTR SBJ.N5,SBJ-V.INTR,wrong_verb,,,,,,,,,,,,,comprehension,SBJ-N5-JUMP-INTR.mp3,,SBJ-N5-JUMP-INTR.mp4,SBJ-N5-HIDE-INTR.mp4
4,comprehension,2,1,88,target,OBJ.N5 SBJ.N3 REVEAL-TR,OBJ.N5 REVEAL-TR SBJ.N3,fer-timó girda pif-zilép,OBJ-SBJ-V.TR,OBJ.N3 SBJ.N5 PUSH-TR,SBJ.N5 PUSH-TR OBJ.N3,OBJ-SBJ-V.TR,swapped_roles_wrong_verb,,,,,,,,,,,,,comprehension,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N3-SBJ-N5-PUSH-TR.mp4
5,comprehension,2,1,89,target,OBJ.N5 SBJ.N3 PUSH-TR,SBJ.N3 OBJ.N5 PUSH-TR,pif-zilép fer-timó vánta,OBJ-SBJ-V.TR,OBJ.N3 SBJ.N5 PUSH-TR,SBJ.N5 PUSH-TR OBJ.N3,OBJ-SBJ-V.TR,swapped_roles,,,,,,,,,,,,,comprehension,SBJ-N3-OBJ-N5-PUSH-TR.mp3,,OBJ-N5-SBJ-N3-PUSH-TR.mp4,OBJ-N3-SBJ-N5-PUSH-TR.mp4
6,comprehension,2,1,90,target,SBJ.N1 HIDE-INTR,HIDE-INTR SBJ.N1,zsübe pif-pekli,SBJ-V.INTR,SBJ.N1 REVEAL-INTR,REVEAL-INTR SBJ.N1,SBJ-V.INTR,wrong_verb,,,,,,,,,,,,,comprehension,HIDE-INTR-SBJ-N1.mp3,,SBJ-N1-HIDE-INTR.mp4,SBJ-N1-REVEAL-INTR.mp4
7,comprehension,2,1,91,target,OBJ.N5 SBJ.N4 HIDE-TR,SBJ.N4 HIDE-TR OBJ.N5,pif-dabi zsübe fer-timó,OBJ-SBJ-V.TR,OBJ.N4 SBJ.N5 REVEAL-TR,REVEAL-TR OBJ.N4 SBJ.N5,OBJ-SBJ-V.TR,swapped_roles_wrong_verb,,,,,,,,,,,,,comprehension,SBJ-N4-HIDE-TR-OBJ-N5.mp3,,OBJ-N5-SBJ-N4-HIDE-TR.mp4,OBJ-N4-SBJ-N5-REVEAL-TR.mp4
8,comprehension,2,1,92,target,SBJ.N2 REVEAL-INTR,SBJ.N2 REVEAL-INTR,pif-murak girda,SBJ-V.INTR,SBJ.N2 HIDE-INTR,SBJ.N2 HIDE-INTR,SBJ-V.INTR,wrong_verb,,,,,,,,,,,,,comprehension,SBJ-N2-REVEAL-INTR.mp3,,SBJ-N2-REVEAL-INTR.mp4,SBJ-N2-HIDE-INTR.mp4
9,comprehension,2,1,93,target,OBJ.N5 SBJ.N4 PUSH-TR,SBJ.N4 OBJ.N5 PUSH-TR,pif-dabi fer-timó vánta,OBJ-SBJ-V.TR,OBJ.N4 SBJ.N5 PUSH-TR,PUSH-TR OBJ.N4 SBJ.N5,OBJ-SBJ-V.TR,swapped_roles,,,,,,,,,,,,,comprehension,SBJ-N4-OBJ-N5-PUSH-TR.mp3,,OBJ-N5-SBJ-N4-PUSH-TR.mp4,OBJ-N4-SBJ-N5-PUSH-TR.mp4
10,comprehension,2,1,94,target,SBJ.N1 GO-INTR,SBJ.N1 GO-INTR,pif-pekli kávler,SBJ-V.INTR,SBJ.N1 HIDE-INTR,HIDE-INTR SBJ.N1,SBJ-V.INTR,wrong_verb,,,,,,,,,,,,,comprehension,SBJ-N1-GO-INTR.mp3,,SBJ-N1-GO-INTR.mp4,SBJ-N1-HIDE-INTR.mp4
11,comprehension,2,1,95,target,SBJ.N4 REVEAL-INTR,REVEAL-INTR SBJ.N4,girda pif-dabi,SBJ-V.INTR,SBJ.N4 JUMP-INTR,JUMP-INTR SBJ.N4,SBJ-V.INTR,wrong_verb,,,,,,,,,,,,,comprehension,REVEAL-INTR-SBJ-N4.mp3,,SBJ-N4-REVEAL-INTR.mp4,SBJ-N4-JUMP-INTR.mp4
12,comprehension,2,1,96,target,OBJ.N5 SBJ.N4 REVEAL-TR,REVEAL-TR OBJ.N5 SBJ.N4,girda fer-timó pif-dabi,OBJ-SBJ-V.TR,OBJ.N4 SBJ.N5 PUSH-TR,PUSH-TR OBJ.N4 SBJ.N5,OBJ-SBJ-V.TR,swapped_roles_wrong_verb,,,,,,,,,,,,,comprehension,REVEAL-TR-OBJ-N5-SBJ-N4.mp3,,OBJ-N5-SBJ-N4-REVEAL-TR.mp4,OBJ-N4-SBJ-N5-PUSH-TR.mp4
13,comprehension,2,1,97,target,SBJ.N3 JUMP-INTR,JUMP-INTR SBJ.N3,bonip pif-zilép,SBJ-V.INTR,SBJ.N3 GO-INTR,GO-INTR SBJ.N3,SBJ-V.INTR,wrong_verb,,,,,,,,,,,,,comprehension,JUMP-INTR-SBJ-N3.mp3,,SBJ-N3-JUMP-INTR.mp4,SBJ-N3-GO-INTR.mp4
14,comprehension,2,1,98,target,OBJ.N5 SBJ.N4 PUSH-TR,SBJ.N4 OBJ.N5 PUSH-TR,pif-dabi fer-timó vánta,OBJ-SBJ-V.TR,OBJ.N4 SBJ.N5 PUSH-TR,PUSH-TR OBJ.N4 SBJ.N5,OBJ-SBJ-V.TR,swapped_roles,,,,,,,,,,,,,comprehension,SBJ-N4-OBJ-N5-PUSH-TR.mp3,,OBJ-N5-SBJ-N4-PUSH-TR.mp4,OBJ-N4-SBJ-N5-PUSH-TR.mp4
15,comprehension,2,1,99,target,OBJ.N5 SBJ.N4 REVEAL-TR,REVEAL-TR OBJ.N5 SBJ.N4,girda fer-timó pif-dabi,OBJ-SBJ-V.TR,OBJ.N4 SBJ.N5 HIDE-TR,SBJ.N5 HIDE-TR OBJ.N4,OBJ-SBJ-V.TR,swapped_roles_wrong_verb,,,,,,,,,,,,,comprehension,REVEAL-TR-OBJ-N5-SBJ-N4.mp3,,OBJ-N5-SBJ-N4-REVEAL-TR.mp4,OBJ-N4-SBJ-N5-HIDE-TR.mp4
16,comprehension,2,1,100,target,SBJ.N5 GO-INTR,GO-INTR SBJ.N5,kávler pif-timó,SBJ-V.INTR,SBJ.N5 HIDE-INTR,HIDE-INTR SBJ.N5,SBJ-V.INTR,wrong_verb,,,,,,,,,,,,,comprehension,GO-INTR-SBJ-N5.mp3,,SBJ-N5-GO-INTR.mp4,SBJ-N5-HIDE-INTR.mp4
17,comprehension,2,1,101,target,SBJ.N1 HIDE-INTR,HIDE-INTR SBJ.N1,zsübe pif-pekli,SBJ-V.INTR,SBJ.N1 REVEAL-INTR,REVEAL-INTR SBJ.N1,SBJ-V.INTR,wrong_verb,,,,,,,,,,,,,comprehension,HIDE-INTR-SBJ-N1.mp3,,SBJ-N1-HIDE-INTR.mp4,SBJ-N1-REVEAL-INTR.mp4
18,comprehension,2,1,102,target,OBJ.N5 SBJ.N3 HIDE-TR,OBJ.N5 HIDE-TR SBJ.N3,fer-timó zsübe pif-zilép,OBJ-SBJ-V.TR,OBJ.N3 SBJ.N5 HIDE-TR,OBJ.N3 HIDE-TR SBJ.N5,OBJ-SBJ-V.TR,swapped_roles,,,,,,,,,,,,,comprehension,OBJ-N5-HIDE-TR-SBJ-N3.mp3,,OBJ-N5-SBJ-N3-HIDE-TR.mp4,OBJ-N3-SBJ-N5-HIDE-TR.mp4
19,comprehension,2,1,103,target,SBJ.N5 REVEAL-INTR,SBJ.N5 REVEAL-INTR,pif-timó girda,SBJ-V.INTR,SBJ.N5 JUMP-INTR,SBJ.N5 JUMP-INTR,SBJ-V.INTR,wrong_verb,,,,,,,,,,,,,comprehension,SBJ-N5-REVEAL-INTR.mp3,,SBJ-N5-REVEAL-INTR.mp4,SBJ-N5-JUMP-INTR.mp4
20,comprehension,2,1,104,target,SBJ.N5 GO-INTR,GO-INTR SBJ.N5,kávler pif-timó,SBJ-V.INTR,SBJ.N5 JUMP-INTR,SBJ.N5 JUMP-INTR,SBJ-V.INTR,wrong_verb,,,,,,,,,,,,,comprehension,GO-INTR-SBJ-N5.mp3,,SBJ-N5-GO-INTR.mp4,SBJ-N5-JUMP-INTR.mp4
21,comprehension,2,1,105,target,OBJ.N5 SBJ.N1 HIDE-TR,OBJ.N5 HIDE-TR SBJ.N1,fer-timó zsübe pif-pekli,OBJ-SBJ-V.TR,OBJ.N1 SBJ.N5 REVEAL-TR,OBJ.N1 REVEAL-TR SBJ.N5,OBJ-SBJ-V.TR,swapped_roles_wrong_verb,,,,,,,,,,,,,comprehension,OBJ-N5-HIDE-TR-SBJ-N1.mp3,,OBJ-N5-SBJ-N1-HIDE-TR.mp4,OBJ-N1-SBJ-N5-REVEAL-TR.mp4
22,comprehension,2,1,106,target,OBJ.N5 SBJ.N4 REVEAL-TR,REVEAL-TR OBJ.N5 SBJ.N4,girda fer-timó pif-dabi,OBJ-SBJ-V.TR,OBJ.N4 SBJ.N5 REVEAL-TR,REVEAL-TR OBJ.N4 SBJ.N5,OBJ-SBJ-V.TR,swapped_roles,,,,,,,,,,,,,comprehension,REVEAL-TR-OBJ-N5-SBJ-N4.mp3,,OBJ-N5-SBJ-N4-REVEAL-TR.mp4,OBJ-N4-SBJ-N5-REVEAL-TR.mp4
23,comprehension,2,1,107,target,SBJ.N2 REVEAL-INTR LOC.N4,LOC.N4 REVEAL-INTR SBJ.N2,pa-dabi girda pif-murak,SBJ-V.INTR-LOC,SBJ.N4 JUMP-INTR LOC.N2,JUMP-INTR SBJ.N4 LOC.N2,SBJ-V.INTR-LOC,swapped_roles_wrong_verb,,,,,,,,,,,,,comprehension,LOC-N4-REVEAL-INTR-SBJ-N2.mp3,,SBJ-N2-REVEAL-INTR-LOC-N4.mp4,SBJ-N4-JUMP-INTR-LOC-N2.mp4
24,comprehension,2,1,108,target,OBJ.N5 SBJ.N4 PUSH-TR LOC.N2,LOC.N2 OBJ.N5 SBJ.N4 PUSH-TR,pa-murak fer-timó pif-dabi vánta,OBJ-SBJ-V.TR-LOC,OBJ.N4 SBJ.N5 PUSH-TR LOC.N2,SBJ.N5 OBJ.N4 LOC.N2 PUSH-TR,OBJ-SBJ-V.TR-LOC,swapped_roles,,,,,,,,,,,,,comprehension,LOC-N2-OBJ-N5-SBJ-N4-PUSH-TR.mp3,,OBJ-N5-SBJ-N4-PUSH-TR-LOC-N2.mp4,OBJ-N4-SBJ-N5-PUSH-TR-LOC-N2.mp4
25,comprehension,2,1,109,target,OBJ.N5 SBJ.N4 HIDE-TR LOC.N2,OBJ.N5 HIDE-TR LOC.N2 SBJ.N4,fer-timó zsübe pa-murak pif-dabi,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N2 REVEAL-TR LOC.N4,LOC.N4 SBJ.N2 OBJ.N5 REVEAL-TR,OBJ-SBJ-V.TR-LOC,swapped_roles_wrong_verb,,,,,,,,,,,,,comprehension,OBJ-N5-HIDE-TR-LOC-N2-SBJ-N4.mp3,,OBJ-N5-SBJ-N4-HIDE-TR-LOC-N2.mp4,OBJ-N5-SBJ-N2-REVEAL-TR-LOC-N4.mp4
26,comprehension,2,1,110,target,SBJ.N2 REVEAL-INTR LOC.N4,LOC.N4 REVEAL-INTR SBJ.N2,pa-dabi girda pif-murak,SBJ-V.INTR-LOC,SBJ.N4 REVEAL-INTR LOC.N2,REVEAL-INTR SBJ.N4 LOC.N2,SBJ-V.INTR-LOC,swapped_roles,,,,,,,,,,,,,comprehension,LOC-N4-REVEAL-INTR-SBJ-N2.mp3,,SBJ-N2-REVEAL-INTR-LOC-N4.mp4,SBJ-N4-REVEAL-INTR-LOC-N2.mp4
27,comprehension,2,1,111,target,SBJ.N5 REVEAL-INTR LOC.N4,SBJ.N5 LOC.N4 REVEAL-INTR,pif-timó pa-dabi girda,SBJ-V.INTR-LOC,SBJ.N4 JUMP-INTR LOC.N5,JUMP-INTR SBJ.N4 LOC.N5,SBJ-V.INTR-LOC,swapped_roles_wrong_verb,,,,,,,,,,,,,comprehension,SBJ-N5-LOC-N4-REVEAL-INTR.mp3,,SBJ-N5-REVEAL-INTR-LOC-N4.mp4,SBJ-N4-JUMP-INTR-LOC-N5.mp4
