trial_id_global,difficulty,session,trial_type,sentence_frame,sentence
39,2,1,passive,SBJ-V.INTR-LOC,SBJ.N5 GO-INTR LOC.N4
40,2,1,passive,SBJ-V.INTR-LOC,SBJ.N3 HIDE-INTR LOC.N4
41,2,1,passive,SBJ-V.INTR-LOC,SBJ.N5 JUMP-INTR LOC.N4
42,3,1,passive,OBJ-SBJ-V.TR,OBJ.N5 Ab SBJ.N1 PUSH-TR
43,1,2,passive,SBJ-V.INTR,SBJ.N1 GO-INTR
44,2,2,passive,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N3 REVEAL-TR
45,2,2,passive,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N2 PUSH-TR
46,1,2,passive,SBJ-V.INTR,SBJ.N1 GO-INTR
47,2,2,passive,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N4 HIDE-TR
48,1,2,passive,SBJ-V.INTR,SBJ.N2 HIDE-INTR
49,2,2,passive,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N3 REVEAL-TR
50,1,2,passive,SBJ-V.INTR,SBJ.N3 JUMP-INTR
51,1,2,passive,SBJ-V.INTR,SBJ.N5 REVEAL-INTR
52,2,2,passive,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N4 HIDE-TR
53,1,2,passive,SBJ-V.INTR,SBJ.N3 JUMP-INTR
54,2,2,passive,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N2 PUSH-TR
55,2,2,passive,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N1 HIDE-TR
56,1,2,passive,SBJ-V.INTR,SBJ.N2 HIDE-INTR
57,2,2,passive,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N2 PUSH-TR
58,1,2,passive,SBJ-V.INTR,SBJ.N3 GO-INTR
59,1,2,passive,SBJ-V.INTR,SBJ.N4 REVEAL-INTR
60,2,2,passive,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N3 REVEAL-TR
61,1,2,passive,SBJ-V.INTR,SBJ.N5 JUMP-INTR
62,1,2,passive,SBJ-V.INTR,SBJ.N3 GO-INTR
63,2,2,passive,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N3 REVEAL-TR
64,2,2,passive,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N1 REVEAL-TR
65,3,2,passive,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N2 PUSH-TR LOC.N4
66,2,2,passive,SBJ-V.INTR-LOC,SBJ.N4 REVEAL-INTR LOC.N5
67,3,2,passive,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N1 HIDE-TR LOC.N2
68,2,2,passive,SBJ-V.INTR-LOC,SBJ.N2 REVEAL-INTR LOC.N5
69,3,2,passive,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N1 PUSH-TR LOC.N2
70,2,2,passive,SBJ-V.INTR-LOC,SBJ.N3 REVEAL-INTR LOC.N4
71,3,2,passive,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N4 HIDE-TR LOC.N3
72,3,2,passive,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N3 REVEAL-TR LOC.N4
73,3,2,passive,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N2 PUSH-TR LOC.N4
74,2,2,passive,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N1 REVEAL-TR
75,3,2,passive,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N4 HIDE-TR LOC.N2
76,1,2,passive,SBJ-V.INTR,SBJ.N5 JUMP-INTR
77,2,2,passive,SBJ-V.INTR,Aa SBJ.N5 HIDE-INTR
78,2,2,passive,SBJ-V.INTR-LOC,SBJ.N5 GO-INTR LOC.N3
79,2,2,passive,SBJ-V.INTR-LOC,SBJ.N2 JUMP-INTR LOC.N1
80,2,2,passive,SBJ-V.INTR-LOC,SBJ.N3 GO-INTR LOC.N2
81,2,2,passive,SBJ-V.INTR-LOC,SBJ.N5 HIDE-INTR LOC.N3
82,2,2,passive,SBJ-V.INTR-LOC,SBJ.N1 HIDE-INTR LOC.N3
83,2,2,passive,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N4 HIDE-TR
84,3,2,passive,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N1 HIDE-TR LOC.N2
85,2,2,comprehension,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N2 HIDE-TR
86,1,2,comprehension,SBJ-V.INTR,SBJ.N5 HIDE-INTR
87,1,2,comprehension,SBJ-V.INTR,SBJ.N5 JUMP-INTR
88,2,2,comprehension,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N3 REVEAL-TR
89,2,2,comprehension,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N3 PUSH-TR
90,1,2,comprehension,SBJ-V.INTR,SBJ.N1 HIDE-INTR
91,2,2,comprehension,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N4 HIDE-TR
92,1,2,comprehension,SBJ-V.INTR,SBJ.N2 REVEAL-INTR
93,2,2,comprehension,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N4 PUSH-TR
94,1,2,comprehension,SBJ-V.INTR,SBJ.N1 GO-INTR
95,1,2,comprehension,SBJ-V.INTR,SBJ.N4 REVEAL-INTR
96,2,2,comprehension,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N4 REVEAL-TR
97,1,2,comprehension,SBJ-V.INTR,SBJ.N3 JUMP-INTR
98,2,2,comprehension,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N4 PUSH-TR
99,2,2,comprehension,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N4 REVEAL-TR
100,1,2,comprehension,SBJ-V.INTR,SBJ.N5 GO-INTR
101,1,2,comprehension,SBJ-V.INTR,SBJ.N1 HIDE-INTR
102,2,2,comprehension,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N3 HIDE-TR
103,1,2,comprehension,SBJ-V.INTR,SBJ.N5 REVEAL-INTR
104,1,2,comprehension,SBJ-V.INTR,SBJ.N5 GO-INTR
105,2,2,comprehension,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N1 HIDE-TR
106,2,2,comprehension,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N4 REVEAL-TR
107,2,2,comprehension,SBJ-V.INTR-LOC,SBJ.N2 REVEAL-INTR LOC.N4
108,3,2,comprehension,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N4 PUSH-TR LOC.N2
109,3,2,comprehension,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N4 HIDE-TR LOC.N2
110,2,2,comprehension,SBJ-V.INTR-LOC,SBJ.N2 REVEAL-INTR LOC.N4
111,2,2,comprehension,SBJ-V.INTR-LOC,SBJ.N5 REVEAL-INTR LOC.N4
112,3,2,comprehension,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N4 REVEAL-TR LOC.N1
113,3,2,comprehension,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N1 HIDE-TR LOC.N2
114,3,2,comprehension,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N2 PUSH-TR LOC.N4
115,3,2,comprehension,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N1 REVEAL-TR LOC.N3
116,1,2,comprehension,SBJ-V.INTR,SBJ.N3 GO-INTR
117,3,2,comprehension,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N3 PUSH-TR LOC.N4
118,3,2,comprehension,OBJ-SBJ-V.TR,OBJ.N5 Ab SBJ.N1 HIDE-TR
119,1,2,comprehension,SBJ-V.INTR,SBJ.N1 JUMP-INTR
120,2,2,comprehension,SBJ-V.INTR-LOC,SBJ.N2 HIDE-INTR LOC.N3
121,2,2,comprehension,SBJ-V.INTR-LOC,SBJ.N4 HIDE-INTR LOC.N5
122,2,2,comprehension,SBJ-V.INTR-LOC,SBJ.N5 GO-INTR LOC.N4
123,2,2,comprehension,SBJ-V.INTR-LOC,SBJ.N3 JUMP-INTR LOC.N2
124,2,2,comprehension,SBJ-V.INTR-LOC,SBJ.N4 JUMP-INTR LOC.N1
125,3,2,comprehension,OBJ-SBJ-V.TR,Ab OBJ.N5 SBJ.N2 HIDE-TR
126,3,2,comprehension,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N3 REVEAL-TR LOC.N4
127,2,2,production,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N4 HIDE-TR
128,1,2,production,SBJ-V.INTR,SBJ.N3 JUMP-INTR
129,1,2,production,SBJ-V.INTR,SBJ.N4 GO-INTR
130,2,2,production,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N4 PUSH-TR
131,2,2,production,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N3 REVEAL-TR
132,1,2,production,SBJ-V.INTR,SBJ.N4 HIDE-INTR
133,2,2,production,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N4 PUSH-TR
134,1,2,production,SBJ-V.INTR,SBJ.N3 REVEAL-INTR
135,2,2,production,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N4 REVEAL-TR
136,1,2,production,SBJ-V.INTR,SBJ.N3 JUMP-INTR
137,2,2,production,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N4 HIDE-TR
138,1,2,production,SBJ-V.INTR,SBJ.N2 REVEAL-INTR
139,2,2,production,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N4 HIDE-TR
140,1,2,production,SBJ-V.INTR,SBJ.N1 GO-INTR
141,2,2,production,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N3 REVEAL-TR
142,1,2,production,SBJ-V.INTR,SBJ.N3 JUMP-INTR
143,1,2,production,SBJ-V.INTR,SBJ.N4 HIDE-INTR
144,2,2,production,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N2 PUSH-TR
145,1,2,production,SBJ-V.INTR,SBJ.N5 REVEAL-INTR
146,1,2,production,SBJ-V.INTR,SBJ.N3 HIDE-INTR
147,2,2,production,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N2 PUSH-TR
148,2,2,production,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N1 PUSH-TR
149,3,2,production,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N2 HIDE-TR LOC.N3
150,2,2,production,SBJ-V.INTR-LOC,SBJ.N4 REVEAL-INTR LOC.N3
151,2,2,production,SBJ-V.INTR-LOC,SBJ.N4 REVEAL-INTR LOC.N3
152,3,2,production,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N1 PUSH-TR LOC.N2
153,3,2,production,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N1 REVEAL-TR LOC.N3
154,2,2,production,SBJ-V.INTR-LOC,SBJ.N1 REVEAL-INTR LOC.N5
155,3,2,production,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N2 PUSH-TR LOC.N3
156,3,2,production,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N1 HIDE-TR LOC.N2
157,3,2,production,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N2 PUSH-TR LOC.N4
158,2,2,production,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N3 REVEAL-TR
159,3,2,production,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N3 HIDE-TR LOC.N4
160,2,2,production,SBJ-V.INTR,Aa SBJ.N5 JUMP-INTR
161,1,2,production,SBJ-V.INTR,SBJ.N3 HIDE-INTR
162,2,2,production,SBJ-V.INTR-LOC,SBJ.N3 GO-INTR LOC.N2
163,2,2,production,SBJ-V.INTR-LOC,SBJ.N1 HIDE-INTR LOC.N5
164,2,2,production,SBJ-V.INTR-LOC,SBJ.N1 JUMP-INTR LOC.N5
165,2,2,production,SBJ-V.INTR-LOC,SBJ.N5 GO-INTR LOC.N3
166,2,2,production,SBJ-V.INTR-LOC,SBJ.N5 HIDE-INTR LOC.N2
167,3,2,production,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N3 HIDE-TR LOC.N2
168,3,2,production,OBJ-SBJ-V.TR,Ab OBJ.N5 SBJ.N2 HIDE-TR
209,3,2,passive,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N4 PUSH-TR LOC.N1
210,2,2,passive,SBJ-V.INTR-LOC,SBJ.N3 REVEAL-INTR LOC.N2
211,3,2,passive,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N4 REVEAL-TR LOC.N1
212,2,2,passive,SBJ-V.INTR-LOC,SBJ.N5 REVEAL-INTR LOC.N3
213,2,2,passive,SBJ-V.INTR,Ab SBJ.N1 GO-INTR
214,3,2,passive,OBJ-SBJ-V.TR,Ab OBJ.N5 SBJ.N2 HIDE-TR
215,2,2,passive,SBJ-V.INTR,Ab SBJ.N3 HIDE-INTR
216,3,2,passive,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N4 PUSH-TR LOC.N1
217,2,2,passive,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N4 REVEAL-TR
218,2,2,passive,SBJ-V.INTR-LOC,SBJ.N5 REVEAL-INTR LOC.N4
219,1,2,passive,SBJ-V.INTR,SBJ.N5 GO-INTR
220,2,2,passive,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N3 HIDE-TR
221,3,2,passive,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N4 HIDE-TR LOC.N1
222,3,2,passive,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N3 PUSH-TR LOC.N1
223,3,2,passive,OBJ-SBJ-V.TR,OBJ.N5 Ab SBJ.N2 REVEAL-TR
224,1,2,passive,SBJ-V.INTR,SBJ.N4 JUMP-INTR
225,2,2,passive,SBJ-V.INTR,Ab SBJ.N4 JUMP-INTR
226,2,2,passive,SBJ-V.INTR-LOC,SBJ.N4 GO-INTR LOC.N1
227,2,2,passive,SBJ-V.INTR-LOC,SBJ.N3 HIDE-INTR LOC.N5
228,2,2,passive,SBJ-V.INTR-LOC,SBJ.N1 JUMP-INTR LOC.N2
229,3,2,passive,OBJ-SBJ-V.TR,OBJ.N5 Ab SBJ.N4 REVEAL-TR
230,3,2,passive,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N3 HIDE-TR LOC.N2
231,4,2,passive,SBJ-V.INTR-LOC,Ab SBJ.N5 REVEAL-INTR Ab LOC.N4
232,5,2,passive,OBJ-SBJ-V.TR-LOC,OBJ.N5 Ab SBJ.N4 PUSH-TR Ab LOC.N2
233,4,2,passive,OBJ-SBJ-V.TR-LOC,OBJ.N5 Ab SBJ.N2 REVEAL-TR LOC.N4
234,2,2,passive,SBJ-V.INTR-LOC,SBJ.N5 REVEAL-INTR LOC.N3
235,2,2,passive,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N1 PUSH-TR
236,1,2,passive,SBJ-V.INTR,SBJ.N1 GO-INTR
237,3,2,passive,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N1 REVEAL-TR LOC.N2
238,4,2,passive,SBJ-V.INTR-LOC,Ab SBJ.N4 REVEAL-INTR Ab LOC.N5
239,4,2,passive,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N4 HIDE-TR Ab LOC.N1
240,3,2,passive,OBJ-SBJ-V.TR,OBJ.N5 Ab SBJ.N2 REVEAL-TR
241,2,2,passive,SBJ-V.INTR,Ab SBJ.N1 HIDE-INTR
242,3,2,passive,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N4 HIDE-TR LOC.N2
243,1,2,passive,SBJ-V.INTR,SBJ.N4 JUMP-INTR
244,2,2,passive,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N1 PUSH-TR
245,2,2,passive,SBJ-V.INTR,Ab SBJ.N4 GO-INTR
246,3,2,passive,SBJ-V.INTR-LOC,Ab SBJ.N2 HIDE-INTR LOC.N1
247,4,2,passive,SBJ-V.INTR-LOC,Ab SBJ.N3 JUMP-INTR Ab LOC.N4
248,4,2,passive,SBJ-V.INTR-LOC,Aa SBJ.N4 GO-INTR Aa LOC.N5
249,4,2,passive,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N2 PUSH-TR Ab LOC.N4
250,2,2,passive,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N4 REVEAL-TR
251,2,2,comprehension,SBJ-V.INTR-LOC,SBJ.N3 REVEAL-INTR LOC.N5
252,3,2,comprehension,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N4 PUSH-TR LOC.N2
253,3,2,comprehension,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N4 HIDE-TR LOC.N3
254,2,2,comprehension,SBJ-V.INTR-LOC,SBJ.N1 REVEAL-INTR LOC.N2
255,2,2,comprehension,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N4 REVEAL-TR
256,1,2,comprehension,SBJ-V.INTR,SBJ.N2 GO-INTR
257,1,2,comprehension,SBJ-V.INTR,SBJ.N5 JUMP-INTR
258,3,2,comprehension,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N1 PUSH-TR LOC.N2
259,2,2,comprehension,SBJ-V.INTR-LOC,SBJ.N1 REVEAL-INTR LOC.N3
260,3,2,comprehension,OBJ-SBJ-V.TR,Ab OBJ.N5 SBJ.N1 REVEAL-TR
261,2,2,comprehension,SBJ-V.INTR,Ab SBJ.N2 HIDE-INTR
262,3,2,comprehension,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N1 HIDE-TR LOC.N2
263,3,2,comprehension,OBJ-SBJ-V.TR,OBJ.N5 Ab SBJ.N1 HIDE-TR
264,3,2,comprehension,OBJ-SBJ-V.TR,OBJ.N5 Ab SBJ.N1 REVEAL-TR
265,3,2,comprehension,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N4 PUSH-TR LOC.N1
266,2,2,comprehension,SBJ-V.INTR,Ab SBJ.N2 GO-INTR
267,1,2,comprehension,SBJ-V.INTR,SBJ.N5 HIDE-INTR
268,2,2,comprehension,SBJ-V.INTR-LOC,SBJ.N1 JUMP-INTR LOC.N3
269,2,2,comprehension,SBJ-V.INTR-LOC,SBJ.N5 GO-INTR LOC.N2
270,2,2,comprehension,SBJ-V.INTR-LOC,SBJ.N3 HIDE-INTR LOC.N5
271,3,2,comprehension,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N3 PUSH-TR LOC.N1
272,3,2,comprehension,OBJ-SBJ-V.TR,Ab OBJ.N5 SBJ.N1 REVEAL-TR
273,4,2,comprehension,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N1 PUSH-TR Ab LOC.N3
274,4,2,comprehension,SBJ-V.INTR-LOC,Ab SBJ.N2 REVEAL-INTR Ab LOC.N4
275,5,2,comprehension,OBJ-SBJ-V.TR-LOC,OBJ.N5 Ab SBJ.N1 REVEAL-TR Ab LOC.N3
276,3,2,comprehension,SBJ-V.INTR-LOC,Ab SBJ.N4 REVEAL-INTR LOC.N3
277,4,2,comprehension,SBJ-V.INTR-LOC,Ab SBJ.N5 REVEAL-INTR Ab LOC.N4
278,3,2,comprehension,OBJ-SBJ-V.TR,Ab OBJ.N5 SBJ.N3 PUSH-TR
279,2,2,comprehension,SBJ-V.INTR,Ab SBJ.N4 JUMP-INTR
280,4,2,comprehension,OBJ-SBJ-V.TR-LOC,Ab OBJ.N5 SBJ.N4 HIDE-TR LOC.N3
281,3,2,comprehension,OBJ-SBJ-V.TR,Ab OBJ.N5 SBJ.N4 REVEAL-TR
282,5,2,comprehension,OBJ-SBJ-V.TR-LOC,Ab OBJ.N5 Ab SBJ.N2 HIDE-TR LOC.N4
283,2,2,comprehension,SBJ-V.INTR,Ab SBJ.N4 GO-INTR
284,4,2,comprehension,OBJ-SBJ-V.TR,Ab OBJ.N5 Ab SBJ.N1 PUSH-TR
285,2,2,comprehension,SBJ-V.INTR,Ab SBJ.N5 HIDE-INTR
286,5,2,comprehension,OBJ-SBJ-V.TR-LOC,Ab OBJ.N5 SBJ.N2 REVEAL-TR Ab LOC.N3
287,2,2,comprehension,SBJ-V.INTR,Ab SBJ.N5 HIDE-INTR
288,3,2,comprehension,SBJ-V.INTR-LOC,Ab SBJ.N4 JUMP-INTR LOC.N3
289,4,2,comprehension,SBJ-V.INTR-LOC,Ab SBJ.N4 GO-INTR Ab LOC.N3
290,4,2,comprehension,SBJ-V.INTR-LOC,Ab SBJ.N2 HIDE-INTR Aa LOC.N1
291,4,2,comprehension,OBJ-SBJ-V.TR-LOC,Ab OBJ.N5 SBJ.N1 PUSH-TR LOC.N4
292,4,2,comprehension,OBJ-SBJ-V.TR,Ab OBJ.N5 Ab SBJ.N3 PUSH-TR
293,2,2,production,SBJ-V.INTR-LOC,SBJ.N4 REVEAL-INTR LOC.N5
294,3,2,production,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N4 HIDE-TR LOC.N3
295,2,2,production,SBJ-V.INTR-LOC,SBJ.N3 REVEAL-INTR LOC.N4
296,3,2,production,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N1 REVEAL-TR LOC.N4
297,1,2,production,SBJ-V.INTR,SBJ.N3 JUMP-INTR
298,3,2,production,OBJ-SBJ-V.TR,OBJ.N5 Ab SBJ.N3 PUSH-TR
299,2,2,production,SBJ-V.INTR,Ab SBJ.N4 HIDE-INTR
300,2,2,production,SBJ-V.INTR-LOC,SBJ.N2 REVEAL-INTR LOC.N3
301,2,2,production,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N3 PUSH-TR
302,3,2,production,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N1 HIDE-TR LOC.N4
303,3,2,production,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N2 REVEAL-TR LOC.N1
304,3,2,production,OBJ-SBJ-V.TR,Ab OBJ.N5 SBJ.N1 PUSH-TR
305,1,2,production,SBJ-V.INTR,SBJ.N2 JUMP-INTR
306,2,2,production,SBJ-V.INTR,Ab SBJ.N1 GO-INTR
307,3,2,production,OBJ-SBJ-V.TR,OBJ.N5 Ab SBJ.N3 HIDE-TR
308,3,2,production,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N2 REVEAL-TR LOC.N4
309,2,2,production,SBJ-V.INTR,Ab SBJ.N5 JUMP-INTR
310,2,2,production,SBJ-V.INTR-LOC,SBJ.N3 HIDE-INTR LOC.N5
311,2,2,production,SBJ-V.INTR-LOC,SBJ.N3 GO-INTR LOC.N4
312,2,2,production,SBJ-V.INTR-LOC,SBJ.N4 JUMP-INTR LOC.N3
313,3,2,production,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N1 PUSH-TR LOC.N3
314,3,2,production,OBJ-SBJ-V.TR,OBJ.N5 Ab SBJ.N1 REVEAL-TR
315,5,2,production,OBJ-SBJ-V.TR-LOC,Ab OBJ.N5 Ab SBJ.N1 REVEAL-TR LOC.N2
316,2,2,production,SBJ-V.INTR-LOC,SBJ.N1 REVEAL-INTR LOC.N5
317,4,2,production,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N1 HIDE-TR Ab LOC.N4
318,3,2,production,SBJ-V.INTR-LOC,Ab SBJ.N1 REVEAL-INTR LOC.N5
319,5,2,production,OBJ-SBJ-V.TR-LOC,OBJ.N5 Ab SBJ.N4 REVEAL-TR Ab LOC.N1
320,3,2,production,SBJ-V.INTR-LOC,Ab SBJ.N2 REVEAL-INTR LOC.N3
321,2,2,production,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N1 PUSH-TR
322,1,2,production,SBJ-V.INTR,SBJ.N2 GO-INTR
323,3,2,production,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N3 HIDE-TR LOC.N1
324,4,2,production,OBJ-SBJ-V.TR,Ab OBJ.N5 Aa SBJ.N5 REVEAL-TR
325,2,2,production,SBJ-V.INTR,Ab SBJ.N1 HIDE-INTR
326,2,2,production,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N4 PUSH-TR
327,6,2,production,OBJ-SBJ-V.TR-LOC,Ab OBJ.N5 Ab SBJ.N3 HIDE-TR Ab LOC.N1
