trial_index,subtask,session,loop,trial_id_global,category,sentence,sentence_morph,sentence_form,sentence_frame,foil_sentence,foil_sentence_morph,foil_sentence_frame,foil_type,chunk_frequency_type,gj_grammatical,gj_error_type,held_out_probe_type,held_out_probe_instance,held_out_probe_instance_morph,distractor_words,all_words,previous_encounters,trial_type,audio_1,audio_2,video_1,video_2
17,passive,1,1,17,target,SBJ.N5 REVEAL-INTR,SBJ.N5 REVEAL-INTR,pif-timó girda,SBJ-V.INTR,,,,,,,,,,,,,,passive,SBJ-N5-REVEAL-INTR.mp3,,SBJ-N5-REVEAL-INTR.mp4,,
18,passive,1,1,18,target,OBJ.N5 SBJ.N4 HIDE-TR,SBJ.N4 HIDE-TR OBJ.N5,pif-dabi zsübe fer-timó,OBJ-SBJ-V.TR,,,,,,,,,,,,,,passive,SBJ-N4-HIDE-TR-OBJ-N5.mp3,,OBJ-N5-SBJ-N4-HIDE-TR.mp4,,
19,passive,1,1,19,target,SBJ.N2 GO-INTR,GO-INTR SBJ.N2,kávler pif-murak,SBJ-V.INTR,,,,,,,,,,,,,,passive,GO-INTR-SBJ-N2.mp3,,SBJ-N2-GO-INTR.mp4,,
20,passive,1,1,20,target,SBJ.N1 REVEAL-INTR,REVEAL-INTR SBJ.N1,girda pif-pekli,SBJ-V.INTR,,,,,,,,,,,,,,passive,REVEAL-INTR-SBJ-N1.mp3,,SBJ-N1-REVEAL-INTR.mp4,,
21,passive,1,1,21,target,OBJ.N5 SBJ.N1 REVEAL-TR,REVEAL-TR SBJ.N1 OBJ.N5,girda pif-pekli fer-timó,OBJ-SBJ-V.TR,,,,,,,,,,,,,,passive,REVEAL-TR-SBJ-N1-OBJ-N5.mp3,,OBJ-N5-SBJ-N1-REVEAL-TR.mp4,,
22,passive,1,1,22,target,OBJ.N5 SBJ.N1 REVEAL-TR,REVEAL-TR SBJ.N1 OBJ.N5,girda pif-pekli fer-timó,OBJ-SBJ-V.TR,,,,,,,,,,,,,,passive,REVEAL-TR-SBJ-N1-OBJ-N5.mp3,,OBJ-N5-SBJ-N1-REVEAL-TR.mp4,,
23,passive,1,1,23,target,OBJ.N5 SBJ.N2 PUSH-TR LOC.N1,OBJ.N5 SBJ.N2 LOC.N1 PUSH-TR,fer-timó pif-murak pa-pekli vánta,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,,,passive,OBJ-N5-SBJ-N2-LOC-N1-PUSH-TR.mp3,,OBJ-N5-SBJ-N2-PUSH-TR-LOC-N1.mp4,,
24,passive,1,1,24,target,SBJ.N4 REVEAL-INTR LOC.N3,SBJ.N4 REVEAL-INTR LOC.N3,pif-dabi girda pa-zilép,SBJ-V.INTR-LOC,,,,,,,,,,,,,,passive,SBJ-N4-REVEAL-INTR-LOC-N3.mp3,,SBJ-N4-REVEAL-INTR-LOC-N3.mp4,,
25,passive,1,1,25,target,OBJ.N5 SBJ.N1 HIDE-TR LOC.N2,SBJ.N1 LOC.N2 HIDE-TR OBJ.N5,pif-pekli pa-murak zsübe fer-timó,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,,,passive,SBJ-N1-LOC-N2-HIDE-TR-OBJ-N5.mp3,,OBJ-N5-SBJ-N1-HIDE-TR-LOC-N2.mp4,,
26,passive,1,1,26,target,SBJ.N4 REVEAL-INTR LOC.N3,SBJ.N4 REVEAL-INTR LOC.N3,pif-dabi girda pa-zilép,SBJ-V.INTR-LOC,,,,,,,,,,,,,,passive,SBJ-N4-REVEAL-INTR-LOC-N3.mp3,,SBJ-N4-REVEAL-INTR-LOC-N3.mp4,,
27,passive,1,1,27,target,OBJ.N5 SBJ.N4 REVEAL-TR LOC.N1,OBJ.N5 LOC.N1 REVEAL-TR SBJ.N4,fer-timó pa-pekli girda pif-dabi,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,,,passive,OBJ-N5-LOC-N1-REVEAL-TR-SBJ-N4.mp3,,OBJ-N5-SBJ-N4-REVEAL-TR-LOC-N1.mp4,,
28,passive,1,1,28,target,SBJ.N5 REVEAL-INTR LOC.N3,SBJ.N5 REVEAL-INTR LOC.N3,pif-timó girda pa-zilép,SBJ-V.INTR-LOC,,,,,,,,,,,,,,passive,SBJ-N5-REVEAL-INTR-LOC-N3.mp3,,SBJ-N5-REVEAL-INTR-LOC-N3.mp4,,
29,passive,1,1,29,target,OBJ.N5 SBJ.N3 HIDE-TR LOC.N4,OBJ.N5 SBJ.N3 HIDE-TR LOC.N4,fer-timó pif-zilép zsübe pa-dabi,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,,,passive,OBJ-N5-SBJ-N3-HIDE-TR-LOC-N4.mp3,,OBJ-N5-SBJ-N3-HIDE-TR-LOC-N4.mp4,,
30,passive,1,1,30,target,OBJ.N5 SBJ.N1 REVEAL-TR LOC.N2,SBJ.N1 LOC.N2 REVEAL-TR OBJ.N5,pif-pekli pa-murak girda fer-timó,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,,,passive,SBJ-N1-LOC-N2-REVEAL-TR-OBJ-N5.mp3,,OBJ-N5-SBJ-N1-REVEAL-TR-LOC-N2.mp4,,
31,passive,1,1,31,target,OBJ.N5 SBJ.N4 PUSH-TR LOC.N2,LOC.N2 OBJ.N5 SBJ.N4 PUSH-TR,pa-murak fer-timó pif-dabi vánta,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,,,passive,LOC-N2-OBJ-N5-SBJ-N4-PUSH-TR.mp3,,OBJ-N5-SBJ-N4-PUSH-TR-LOC-N2.mp4,,
32,passive,1,1,32,target,OBJ.N5 SBJ.N4 HIDE-TR LOC.N1,LOC.N1 OBJ.N5 SBJ.N4 HIDE-TR,pa-pekli fer-timó pif-dabi zsübe,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,,,passive,LOC-N1-OBJ-N5-SBJ-N4-HIDE-TR.mp3,,OBJ-N5-SBJ-N4-HIDE-TR-LOC-N1.mp4,,
33,passive,1,1,33,target,Ab SBJ.N2 JUMP-INTR,JUMP-INTR Ab SBJ.N2,bonip zsot pif-murak,SBJ-V.INTR,,,,,,,,,,,,,,passive,JUMP-INTR-Ab-SBJ-N2.mp3,,Ab-SBJ-N2-JUMP-INTR.mp4,,
34,passive,1,1,34,target,OBJ.N5 Ab SBJ.N4 REVEAL-TR,OBJ.N5 Ab SBJ.N4 REVEAL-TR,fer-timó zsot pif-dabi girda,OBJ-SBJ-V.TR,,,,,,,,,,,,,,passive,OBJ-N5-Ab-SBJ-N4-REVEAL-TR.mp3,,OBJ-N5-Ab-SBJ-N4-REVEAL-TR.mp4,,
35,passive,1,1,35,target,OBJ.N5 SBJ.N3 PUSH-TR LOC.N1,PUSH-TR LOC.N1 OBJ.N5 SBJ.N3,vánta pa-pekli fer-timó pif-zilép,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,,,passive,PUSH-TR-LOC-N1-OBJ-N5-SBJ-N3.mp3,,OBJ-N5-SBJ-N3-PUSH-TR-LOC-N1.mp4,,
36,passive,1,1,36,target,Ab SBJ.N4 HIDE-INTR,HIDE-INTR Ab SBJ.N4,zsübe zsot pif-dabi,SBJ-V.INTR,,,,,,,,,,,,,,passive,HIDE-INTR-Ab-SBJ-N4.mp3,,Ab-SBJ-N4-HIDE-INTR.mp4,,
37,passive,1,1,37,target,SBJ.N4 HIDE-INTR LOC.N1,HIDE-INTR SBJ.N4 LOC.N1,zsübe pif-dabi pa-pekli,SBJ-V.INTR-LOC,,,,,,,,,,,,,,passive,HIDE-INTR-SBJ-N4-LOC-N1.mp3,,SBJ-N4-HIDE-INTR-LOC-N1.mp4,,
38,passive,1,1,38,target,SBJ.N5 JUMP-INTR LOC.N2,JUMP-INTR LOC.N2 SBJ.N5,bonip pa-murak pif-timó,SBJ-V.INTR-LOC,,,,,,,,,,,,,,passive,JUMP-INTR-LOC-N2-SBJ-N5.mp3,,SBJ-N5-JUMP-INTR-LOC-N2.mp4,,
39,passive,1,1,39,target,SBJ.N5 GO-INTR LOC.N4,SBJ.N5 LOC.N4 GO-INTR,pif-timó pa-dabi kávler,SBJ-V.INTR-LOC,,,,,,,,,,,,,,passive,SBJ-N5-LOC-N4-GO-INTR.mp3,,SBJ-N5-GO-INTR-LOC-N4.mp4,,
40,passive,1,1,40,target,SBJ.N3 HIDE-INTR LOC.N4,LOC.N4 SBJ.N3 HIDE-INTR,pa-dabi pif-zilép zsübe,SBJ-V.INTR-LOC,,,,,,,,,,,,,,passive,LOC-N4-SBJ-N3-HIDE-INTR.mp3,,SBJ-N3-HIDE-INTR-LOC-N4.mp4,,
41,passive,1,1,41,target,SBJ.N5 JUMP-INTR LOC.N4,LOC.N4 JUMP-INTR SBJ.N5,pa-dabi bonip pif-timó,SBJ-V.INTR-LOC,,,,,,,,,,,,,,passive,LOC-N4-JUMP-INTR-SBJ-N5.mp3,,SBJ-N5-JUMP-INTR-LOC-N4.mp4,,
42,passive,1,1,42,target,OBJ.N5 Ab SBJ.N1 PUSH-TR,PUSH-TR Ab SBJ.N1 OBJ.N5,vánta zsot pif-pekli fer-timó,OBJ-SBJ-V.TR,,,,,,,,,,,,,,passive,PUSH-TR-Ab-SBJ-N1-OBJ-N5.mp3,,OBJ-N5-Ab-SBJ-N1-PUSH-TR.mp4,,
