trial_index,subtask,session,loop,trial_id_global,category,sentence,sentence_morph,sentence_form,sentence_frame,foil_sentence,foil_sentence_morph,foil_sentence_frame,foil_type,chunk_frequency_type,gj_grammatical,gj_error_type,held_out_probe_type,held_out_probe_instance,held_out_probe_instance_morph,correct_words,correct_words_form,distractor_words,all_words,all_words_form,previous_encounters,trial_type,audio_1,audio_2,video_1,video_2
27,passive,3,1,401,target,OBJ.N5 SBJ.N2 PUSH-TR,SBJ.N2 OBJ.N5 PUSH-TR,pif-murak fer-timó vánta,OBJ-SBJ-V.TR,,,,,,,,,,,,,,,,,passive,SBJ-N2-OBJ-N5-PUSH-TR.mp3,,OBJ-N5-SBJ-N2-PUSH-TR.mp4,
28,passive,3,1,402,target,Ab SBJ.N4 JUMP-INTR,Ab SBJ.N4 JUMP-INTR,zsot pif-dabi bonip,SBJ-V.INTR,,,,,,,,,,,,,,,,,passive,Ab-SBJ-N4-JUMP-INTR.mp3,,Ab-SBJ-N4-JUMP-INTR.mp4,
29,passive,3,1,403,target,Ab OBJ.N5 Ab SBJ.N2 REVEAL-TR,Ab OBJ.N5 REVEAL-TR Ab SBJ.N2,zsot fer-timó girda zsot pif-murak,OBJ-SBJ-V.TR,,,,,,,,,,,,,,,,,passive,Ab-OBJ-N5-REVEAL-TR-Ab-SBJ-N2.mp3,,Ab-OBJ-N5-Ab-SBJ-N2-REVEAL-TR.mp4,
30,passive,3,1,404,target,OBJ.N5 SBJ.N2 PUSH-TR LOC.N4,SBJ.N2 LOC.N4 OBJ.N5 PUSH-TR,pif-murak pa-dabi fer-timó vánta,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,,,,,,passive,SBJ-N2-LOC-N4-OBJ-N5-PUSH-TR.mp3,,OBJ-N5-SBJ-N2-PUSH-TR-LOC-N4.mp4,
31,passive,3,1,405,target,OBJ.N5 Ab SBJ.N2 HIDE-TR Ab LOC.N3,OBJ.N5 Ab LOC.N3 HIDE-TR Ab SBJ.N2,fer-timó zsot pa-zilép zsübe zsot pif-murak,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,,,,,,passive,OBJ-N5-Ab-LOC-N3-HIDE-TR-Ab-SBJ-N2.mp3,,OBJ-N5-Ab-SBJ-N2-HIDE-TR-Ab-LOC-N3.mp4,
32,passive,3,1,406,target,Ab SBJ.N3 GO-INTR,GO-INTR Ab SBJ.N3,kávler zsot pif-zilép,SBJ-V.INTR,,,,,,,,,,,,,,,,,passive,GO-INTR-Ab-SBJ-N3.mp3,,Ab-SBJ-N3-GO-INTR.mp4,
33,passive,3,1,407,target,SBJ.N5 HIDE-INTR,HIDE-INTR SBJ.N5,zsübe pif-timó,SBJ-V.INTR,,,,,,,,,,,,,,,,,passive,HIDE-INTR-SBJ-N5.mp3,,SBJ-N5-HIDE-INTR.mp4,
34,passive,3,1,408,target,Ab SBJ.N5 HIDE-INTR LOC.N2,LOC.N2 Ab SBJ.N5 HIDE-INTR,pa-murak zsot pif-timó zsübe,SBJ-V.INTR-LOC,,,,,,,,,,,,,,,,,passive,LOC-N2-Ab-SBJ-N5-HIDE-INTR.mp3,,Ab-SBJ-N5-HIDE-INTR-LOC-N2.mp4,
35,passive,3,1,409,target,SBJ.N3 JUMP-INTR Aa LOC.N4,JUMP-INTR Aa LOC.N4 SBJ.N3,bonip gyék pa-dabi pif-zilép,SBJ-V.INTR-LOC,,,,,,,,,,,,,,,,,passive,JUMP-INTR-Aa-LOC-N4-SBJ-N3.mp3,,SBJ-N3-JUMP-INTR-Aa-LOC-N4.mp4,
36,passive,3,1,410,target,Ab SBJ.N5 GO-INTR Aa LOC.N3,GO-INTR Ab SBJ.N5 Aa LOC.N3,kávler zsot pif-timó gyék pa-zilép,SBJ-V.INTR-LOC,,,,,,,,,,,,,,,,,passive,GO-INTR-Ab-SBJ-N5-Aa-LOC-N3.mp3,,Ab-SBJ-N5-GO-INTR-Aa-LOC-N3.mp4,
37,passive,3,1,411,target,Ab SBJ.N4 HIDE-INTR Aa LOC.N3,HIDE-INTR Ab SBJ.N4 Aa LOC.N3,zsübe zsot pif-dabi gyék pa-zilép,SBJ-V.INTR-LOC,,,,,,,,,,,,,,,,,passive,HIDE-INTR-Ab-SBJ-N4-Aa-LOC-N3.mp3,,Ab-SBJ-N4-HIDE-INTR-Aa-LOC-N3.mp4,
38,passive,3,1,412,target,Aa SBJ.N1 GO-INTR Aa LOC.N4,Aa LOC.N4 Aa SBJ.N1 GO-INTR,gyék pa-dabi gyék pif-pekli kávler,SBJ-V.INTR-LOC,,,,,,,,,,,,,,,,,passive,Aa-LOC-N4-Aa-SBJ-N1-GO-INTR.mp3,,Aa-SBJ-N1-GO-INTR-Aa-LOC-N4.mp4,
39,passive,3,1,413,target,Ab SBJ.N1 JUMP-INTR LOC.N4,JUMP-INTR LOC.N4 Ab SBJ.N1,bonip pa-dabi zsot pif-pekli,SBJ-V.INTR-LOC,,,,,,,,,,,,,,,,,passive,JUMP-INTR-LOC-N4-Ab-SBJ-N1.mp3,,Ab-SBJ-N1-JUMP-INTR-LOC-N4.mp4,
40,passive,3,1,414,target,Ab OBJ.N5 Ab SBJ.N3 REVEAL-TR,Ab OBJ.N5 REVEAL-TR Ab SBJ.N3,zsot fer-timó girda zsot pif-zilép,OBJ-SBJ-V.TR,,,,,,,,,,,,,,,,,passive,Ab-OBJ-N5-REVEAL-TR-Ab-SBJ-N3.mp3,,Ab-OBJ-N5-Ab-SBJ-N3-REVEAL-TR.mp4,
41,passive,3,1,415,target,Ab OBJ.N5 SBJ.N4 PUSH-TR LOC.N2,PUSH-TR SBJ.N4 LOC.N2 Ab OBJ.N5,vánta pif-dabi pa-murak zsot fer-timó,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,,,,,,passive,PUSH-TR-SBJ-N4-LOC-N2-Ab-OBJ-N5.mp3,,Ab-OBJ-N5-SBJ-N4-PUSH-TR-LOC-N2.mp4,
42,passive,3,1,416,target,Ab OBJ.N5 SBJ.N4 REVEAL-TR,REVEAL-TR SBJ.N4 Ab OBJ.N5,girda pif-dabi zsot fer-timó,OBJ-SBJ-V.TR,,,,,,,,,,,,,,,,,passive,REVEAL-TR-SBJ-N4-Ab-OBJ-N5.mp3,,Ab-OBJ-N5-SBJ-N4-REVEAL-TR.mp4,
1,comprehension,3,1,417,target,Ab SBJ.N3 REVEAL-INTR Ab LOC.N2,Ab SBJ.N3 REVEAL-INTR Ab LOC.N2,zsot pif-zilép girda zsot pa-murak,SBJ-V.INTR-LOC,Aa SBJ.N3 HIDE-INTR Ab LOC.N2,HIDE-INTR Aa SBJ.N3 Ab LOC.N2,SBJ-V.INTR-LOC,wrong_verb_wrong_adjective,,,,,,,,,,,,,comprehension,Ab-SBJ-N3-REVEAL-INTR-Ab-LOC-N2.mp3,,Ab-SBJ-N3-REVEAL-INTR-Ab-LOC-N2.mp4,Aa-SBJ-N3-HIDE-INTR-Ab-LOC-N2.mp4
2,comprehension,3,1,418,target,OBJ.N5 Ab SBJ.N3 PUSH-TR Ab LOC.N2,OBJ.N5 Ab LOC.N2 PUSH-TR Ab SBJ.N3,fer-timó zsot pa-murak vánta zsot pif-zilép,OBJ-SBJ-V.TR-LOC,OBJ.N5 Ab SBJ.N3 REVEAL-TR Ab LOC.N2,Ab LOC.N2 Ab SBJ.N3 OBJ.N5 REVEAL-TR,OBJ-SBJ-V.TR-LOC,wrong_verb,,,,,,,,,,,,,comprehension,OBJ-N5-Ab-LOC-N2-PUSH-TR-Ab-SBJ-N3.mp3,,OBJ-N5-Ab-SBJ-N3-PUSH-TR-Ab-LOC-N2.mp4,OBJ-N5-Ab-SBJ-N3-REVEAL-TR-Ab-LOC-N2.mp4
3,comprehension,3,1,419,target,SBJ.N5 REVEAL-INTR LOC.N4,SBJ.N5 LOC.N4 REVEAL-INTR,pif-timó pa-dabi girda,SBJ-V.INTR-LOC,SBJ.N4 HIDE-INTR LOC.N5,SBJ.N4 LOC.N5 HIDE-INTR,SBJ-V.INTR-LOC,swapped_roles_wrong_verb,,,,,,,,,,,,,comprehension,SBJ-N5-LOC-N4-REVEAL-INTR.mp3,,SBJ-N5-REVEAL-INTR-LOC-N4.mp4,SBJ-N4-HIDE-INTR-LOC-N5.mp4
4,comprehension,3,1,420,target,OBJ.N5 SBJ.N1 REVEAL-TR Ab LOC.N4,Ab LOC.N4 SBJ.N1 OBJ.N5 REVEAL-TR,zsot pa-dabi pif-pekli fer-timó girda,OBJ-SBJ-V.TR-LOC,OBJ.N5 Aa SBJ.N4 REVEAL-TR LOC.N1,OBJ.N5 REVEAL-TR LOC.N1 Aa SBJ.N4,OBJ-SBJ-V.TR-LOC,wrong_adjective_swapped_roles,,,,,,,,,,,,,comprehension,Ab-LOC-N4-SBJ-N1-OBJ-N5-REVEAL-TR.mp3,,OBJ-N5-SBJ-N1-REVEAL-TR-Ab-LOC-N4.mp4,OBJ-N5-Aa-SBJ-N4-REVEAL-TR-LOC-N1.mp4
5,comprehension,3,1,421,target,Ab SBJ.N4 REVEAL-INTR LOC.N5,LOC.N5 Ab SBJ.N4 REVEAL-INTR,pa-timó zsot pif-dabi girda,SBJ-V.INTR-LOC,Aa SBJ.N4 REVEAL-INTR LOC.N5,REVEAL-INTR LOC.N5 Aa SBJ.N4,SBJ-V.INTR-LOC,wrong_adjective,,,,,,,,,,,,,comprehension,LOC-N5-Ab-SBJ-N4-REVEAL-INTR.mp3,,Ab-SBJ-N4-REVEAL-INTR-LOC-N5.mp4,Aa-SBJ-N4-REVEAL-INTR-LOC-N5.mp4
6,comprehension,3,1,422,target,Ab OBJ.N5 Ab SBJ.N2 HIDE-TR LOC.N4,HIDE-TR Ab OBJ.N5 Ab SBJ.N2 LOC.N4,zsübe zsot fer-timó zsot pif-murak pa-dabi,OBJ-SBJ-V.TR-LOC,Ab OBJ.N2 Ab SBJ.N5 HIDE-TR LOC.N4,LOC.N4 HIDE-TR Ab OBJ.N2 Ab SBJ.N5,OBJ-SBJ-V.TR-LOC,swapped_roles,,,,,,,,,,,,,comprehension,HIDE-TR-Ab-OBJ-N5-Ab-SBJ-N2-LOC-N4.mp3,,Ab-OBJ-N5-Ab-SBJ-N2-HIDE-TR-LOC-N4.mp4,Ab-OBJ-N2-Ab-SBJ-N5-HIDE-TR-LOC-N4.mp4
7,comprehension,3,1,423,target,OBJ.N5 SBJ.N1 REVEAL-TR Ab LOC.N2,SBJ.N1 Ab LOC.N2 OBJ.N5 REVEAL-TR,pif-pekli zsot pa-murak fer-timó girda,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N1 HIDE-TR Aa LOC.N2,HIDE-TR OBJ.N5 Aa LOC.N2 SBJ.N1,OBJ-SBJ-V.TR-LOC,wrong_verb_wrong_adjective,,,,,,,,,,,,,comprehension,SBJ-N1-Ab-LOC-N2-OBJ-N5-REVEAL-TR.mp3,,OBJ-N5-SBJ-N1-REVEAL-TR-Ab-LOC-N2.mp4,OBJ-N5-SBJ-N1-HIDE-TR-Aa-LOC-N2.mp4
8,comprehension,3,1,424,target,Ab OBJ.N5 Ab SBJ.N4 PUSH-TR,Ab SBJ.N4 PUSH-TR Ab OBJ.N5,zsot pif-dabi vánta zsot fer-timó,OBJ-SBJ-V.TR,Ab OBJ.N5 Ab SBJ.N4 REVEAL-TR,Ab OBJ.N5 REVEAL-TR Ab SBJ.N4,OBJ-SBJ-V.TR,wrong_verb,,,,,,,,,,,,,comprehension,Ab-SBJ-N4-PUSH-TR-Ab-OBJ-N5.mp3,,Ab-OBJ-N5-Ab-SBJ-N4-PUSH-TR.mp4,Ab-OBJ-N5-Ab-SBJ-N4-REVEAL-TR.mp4
9,comprehension,3,1,425,target,Ab SBJ.N3 REVEAL-INTR LOC.N5,REVEAL-INTR Ab SBJ.N3 LOC.N5,girda zsot pif-zilép pa-timó,SBJ-V.INTR-LOC,SBJ.N5 REVEAL-INTR Aa LOC.N3,Aa LOC.N3 REVEAL-INTR SBJ.N5,SBJ-V.INTR-LOC,wrong_adjective_swapped_roles,,,,,,,,,,,,,comprehension,REVEAL-INTR-Ab-SBJ-N3-LOC-N5.mp3,,Ab-SBJ-N3-REVEAL-INTR-LOC-N5.mp4,SBJ-N5-REVEAL-INTR-Aa-LOC-N3.mp4
10,comprehension,3,1,426,target,SBJ.N3 JUMP-INTR,JUMP-INTR SBJ.N3,bonip pif-zilép,SBJ-V.INTR,SBJ.N3 GO-INTR,GO-INTR SBJ.N3,SBJ-V.INTR,wrong_verb,,,,,,,,,,,,,comprehension,JUMP-INTR-SBJ-N3.mp3,,SBJ-N3-JUMP-INTR.mp4,SBJ-N3-GO-INTR.mp4
11,comprehension,3,1,427,target,Ab SBJ.N5 HIDE-INTR,HIDE-INTR Ab SBJ.N5,zsübe zsot pif-timó,SBJ-V.INTR,Aa SBJ.N5 HIDE-INTR,HIDE-INTR Aa SBJ.N5,SBJ-V.INTR,wrong_adjective,,,,,,,,,,,,,comprehension,HIDE-INTR-Ab-SBJ-N5.mp3,,Ab-SBJ-N5-HIDE-INTR.mp4,Aa-SBJ-N5-HIDE-INTR.mp4
12,comprehension,3,1,428,target,SBJ.N2 REVEAL-INTR Ab LOC.N3,REVEAL-INTR SBJ.N2 Ab LOC.N3,girda pif-murak zsot pa-zilép,SBJ-V.INTR-LOC,Ab SBJ.N3 GO-INTR LOC.N2,Ab SBJ.N3 GO-INTR LOC.N2,SBJ-V.INTR-LOC,swapped_roles_wrong_verb,,,,,,,,,,,,,comprehension,REVEAL-INTR-SBJ-N2-Ab-LOC-N3.mp3,,SBJ-N2-REVEAL-INTR-Ab-LOC-N3.mp4,Ab-SBJ-N3-GO-INTR-LOC-N2.mp4
13,comprehension,3,1,429,target,Ab OBJ.N5 Ab SBJ.N3 HIDE-TR LOC.N4,Ab OBJ.N5 HIDE-TR LOC.N4 Ab SBJ.N3,zsot fer-timó zsübe pa-dabi zsot pif-zilép,OBJ-SBJ-V.TR-LOC,Ab OBJ.N5 SBJ.N4 HIDE-TR Ab LOC.N3,HIDE-TR SBJ.N4 Ab OBJ.N5 Ab LOC.N3,OBJ-SBJ-V.TR-LOC,swapped_roles,,,,,,,,,,,,,comprehension,Ab-OBJ-N5-HIDE-TR-LOC-N4-Ab-SBJ-N3.mp3,,Ab-OBJ-N5-Ab-SBJ-N3-HIDE-TR-LOC-N4.mp4,Ab-OBJ-N5-SBJ-N4-HIDE-TR-Ab-LOC-N3.mp4
14,comprehension,3,1,430,target,Ab OBJ.N5 Ab SBJ.N2 HIDE-TR,HIDE-TR Ab SBJ.N2 Ab OBJ.N5,zsübe zsot pif-murak zsot fer-timó,OBJ-SBJ-V.TR,Aa OBJ.N5 Ab SBJ.N2 REVEAL-TR,REVEAL-TR Aa OBJ.N5 Ab SBJ.N2,OBJ-SBJ-V.TR,wrong_verb_wrong_adjective,,,,,,,,,,,,,comprehension,HIDE-TR-Ab-SBJ-N2-Ab-OBJ-N5.mp3,,Ab-OBJ-N5-Ab-SBJ-N2-HIDE-TR.mp4,Aa-OBJ-N5-Ab-SBJ-N2-REVEAL-TR.mp4
15,comprehension,3,1,431,target,Ab SBJ.N2 GO-INTR,Ab SBJ.N2 GO-INTR,zsot pif-murak kávler,SBJ-V.INTR,Aa SBJ.N2 GO-INTR,Aa SBJ.N2 GO-INTR,SBJ-V.INTR,wrong_adjective,,,,,,,,,,,,,comprehension,Ab-SBJ-N2-GO-INTR.mp3,,Ab-SBJ-N2-GO-INTR.mp4,Aa-SBJ-N2-GO-INTR.mp4
16,comprehension,3,1,432,target,SBJ.N5 REVEAL-INTR Ab LOC.N4,REVEAL-INTR SBJ.N5 Ab LOC.N4,girda pif-timó zsot pa-dabi,SBJ-V.INTR-LOC,Aa SBJ.N4 REVEAL-INTR LOC.N5,REVEAL-INTR LOC.N5 Aa SBJ.N4,SBJ-V.INTR-LOC,wrong_adjective_swapped_roles,,,,,,,,,,,,,comprehension,REVEAL-INTR-SBJ-N5-Ab-LOC-N4.mp3,,SBJ-N5-REVEAL-INTR-Ab-LOC-N4.mp4,Aa-SBJ-N4-REVEAL-INTR-LOC-N5.mp4
17,comprehension,3,1,433,target,OBJ.N5 SBJ.N2 PUSH-TR,SBJ.N2 OBJ.N5 PUSH-TR,pif-murak fer-timó vánta,OBJ-SBJ-V.TR,OBJ.N2 SBJ.N5 HIDE-TR,HIDE-TR OBJ.N2 SBJ.N5,OBJ-SBJ-V.TR,swapped_roles_wrong_verb,,,,,,,,,,,,,comprehension,SBJ-N2-OBJ-N5-PUSH-TR.mp3,,OBJ-N5-SBJ-N2-PUSH-TR.mp4,OBJ-N2-SBJ-N5-HIDE-TR.mp4
18,comprehension,3,1,434,target,Ab OBJ.N5 SBJ.N1 REVEAL-TR Ab LOC.N2,REVEAL-TR Ab LOC.N2 SBJ.N1 Ab OBJ.N5,girda zsot pa-murak pif-pekli zsot fer-timó,OBJ-SBJ-V.TR-LOC,Ab OBJ.N5 Ab SBJ.N2 REVEAL-TR LOC.N1,Ab OBJ.N5 REVEAL-TR LOC.N1 Ab SBJ.N2,OBJ-SBJ-V.TR-LOC,swapped_roles,,,,,,,,,,,,,comprehension,REVEAL-TR-Ab-LOC-N2-SBJ-N1-Ab-OBJ-N5.mp3,,Ab-OBJ-N5-SBJ-N1-REVEAL-TR-Ab-LOC-N2.mp4,Ab-OBJ-N5-Ab-SBJ-N2-REVEAL-TR-LOC-N1.mp4
