trial_id_global,session,subtask,sentence,encounter_count
227,2,passive,SBJ.N3 HIDE-INTR LOC.N5,0
228,2,passive,SBJ.N1 JUMP-INTR LOC.N2,0
229,2,passive,OBJ.N5 Ab SBJ.N4 REVEAL-TR,1
230,2,passive,OBJ.N5 SBJ.N3 HIDE-TR LOC.N2,1
231,2,passive,Ab SBJ.N5 REVEAL-INTR Ab LOC.N4,0
232,2,passive,OBJ.N5 Ab SBJ.N4 PUSH-TR Ab LOC.N2,0
233,2,passive,OBJ.N5 Ab SBJ.N2 REVEAL-TR LOC.N4,0
234,2,passive,SBJ.N5 REVEAL-INTR LOC.N3,2
235,2,passive,OBJ.N5 SBJ.N1 PUSH-TR,2
236,2,passive,SBJ.N1 GO-INTR,4
237,2,passive,OBJ.N5 SBJ.N1 REVEAL-TR LOC.N2,1
238,2,passive,Ab SBJ.N4 REVEAL-INTR Ab LOC.N5,0
239,2,passive,OBJ.N5 SBJ.N4 HIDE-TR Ab LOC.N1,0
240,2,passive,OBJ.N5 Ab SBJ.N2 REVEAL-TR,1
241,2,passive,Ab SBJ.N1 HIDE-INTR,0
242,2,passive,OBJ.N5 SBJ.N4 HIDE-TR LOC.N2,2
243,2,passive,SBJ.N4 JUMP-INTR,1
244,2,passive,OBJ.N5 SBJ.N1 PUSH-TR,3
245,2,passive,Ab SBJ.N4 GO-INTR,0
246,2,passive,Ab SBJ.N2 HIDE-INTR LOC.N1,0
247,2,passive,Ab SBJ.N3 JUMP-INTR Ab LOC.N4,0
248,2,passive,Aa SBJ.N4 GO-INTR Aa LOC.N5,0
249,2,passive,OBJ.N5 SBJ.N2 PUSH-TR Ab LOC.N4,0
250,2,passive,OBJ.N5 SBJ.N4 REVEAL-TR,5
251,2,comprehension,SBJ.N3 REVEAL-INTR LOC.N5,0
252,2,comprehension,OBJ.N5 SBJ.N4 PUSH-TR LOC.N2,2
253,2,comprehension,OBJ.N5 SBJ.N4 HIDE-TR LOC.N3,1
254,2,comprehension,SBJ.N1 REVEAL-INTR LOC.N2,0
255,2,comprehension,OBJ.N5 SBJ.N4 REVEAL-TR,6
256,2,comprehension,SBJ.N2 GO-INTR,3
257,2,comprehension,SBJ.N5 JUMP-INTR,3
258,2,comprehension,OBJ.N5 SBJ.N1 PUSH-TR LOC.N2,2
259,2,comprehension,SBJ.N1 REVEAL-INTR LOC.N3,0
260,2,comprehension,Ab OBJ.N5 SBJ.N1 REVEAL-TR,0
261,2,comprehension,Ab SBJ.N2 HIDE-INTR,0
262,2,comprehension,OBJ.N5 SBJ.N1 HIDE-TR LOC.N2,5
263,2,comprehension,OBJ.N5 Ab SBJ.N1 HIDE-TR,1
264,2,comprehension,OBJ.N5 Ab SBJ.N1 REVEAL-TR,0
265,2,comprehension,OBJ.N5 SBJ.N4 PUSH-TR LOC.N1,2
266,2,comprehension,Ab SBJ.N2 GO-INTR,0
267,2,comprehension,SBJ.N5 HIDE-INTR,2
268,2,comprehension,SBJ.N1 JUMP-INTR LOC.N3,0
269,2,comprehension,SBJ.N5 GO-INTR LOC.N2,0
270,2,comprehension,SBJ.N3 HIDE-INTR LOC.N5,1
271,2,comprehension,OBJ.N5 SBJ.N3 PUSH-TR LOC.N1,2
272,2,comprehension,Ab OBJ.N5 SBJ.N1 REVEAL-TR,1
273,2,comprehension,OBJ.N5 SBJ.N1 PUSH-TR Ab LOC.N3,0
274,2,comprehension,Ab SBJ.N2 REVEAL-INTR Ab LOC.N4,0
275,2,comprehension,OBJ.N5 Ab SBJ.N1 REVEAL-TR Ab LOC.N3,0
276,2,comprehension,Ab SBJ.N4 REVEAL-INTR LOC.N3,0
277,2,comprehension,Ab SBJ.N5 REVEAL-INTR Ab LOC.N4,1
278,2,comprehension,Ab OBJ.N5 SBJ.N3 PUSH-TR,0
279,2,comprehension,Ab SBJ.N4 JUMP-INTR,1
280,2,comprehension,Ab OBJ.N5 SBJ.N4 HIDE-TR LOC.N3,0
281,2,comprehension,Ab OBJ.N5 SBJ.N4 REVEAL-TR,0
282,2,comprehension,Ab OBJ.N5 Ab SBJ.N2 HIDE-TR LOC.N4,0
283,2,comprehension,Ab SBJ.N4 GO-INTR,1
284,2,comprehension,Ab OBJ.N5 Ab SBJ.N1 PUSH-TR,0
285,2,comprehension,Ab SBJ.N5 HIDE-INTR,0
286,2,comprehension,Ab OBJ.N5 SBJ.N2 REVEAL-TR Ab LOC.N3,0
287,2,comprehension,Ab SBJ.N5 HIDE-INTR,1
288,2,comprehension,Ab SBJ.N4 JUMP-INTR LOC.N3,0
289,2,comprehension,Ab SBJ.N4 GO-INTR Ab LOC.N3,0
290,2,comprehension,Ab SBJ.N2 HIDE-INTR Aa LOC.N1,0
291,2,comprehension,Ab OBJ.N5 SBJ.N1 PUSH-TR LOC.N4,0
292,2,comprehension,Ab OBJ.N5 Ab SBJ.N3 PUSH-TR,0
293,2,production,SBJ.N4 REVEAL-INTR LOC.N5,1
294,2,production,OBJ.N5 SBJ.N4 HIDE-TR LOC.N3,2
295,2,production,SBJ.N3 REVEAL-INTR LOC.N4,1
296,2,production,OBJ.N5 SBJ.N1 REVEAL-TR LOC.N4,0
297,2,production,SBJ.N3 JUMP-INTR,6
298,2,production,OBJ.N5 Ab SBJ.N3 PUSH-TR,0
299,2,production,Ab SBJ.N4 HIDE-INTR,1
300,2,production,SBJ.N2 REVEAL-INTR LOC.N3,0
301,2,production,OBJ.N5 SBJ.N3 PUSH-TR,1
302,2,production,OBJ.N5 SBJ.N1 HIDE-TR LOC.N4,0
303,2,production,OBJ.N5 SBJ.N2 REVEAL-TR LOC.N1,0
304,2,production,Ab OBJ.N5 SBJ.N1 PUSH-TR,0
305,2,production,SBJ.N2 JUMP-INTR,1
306,2,production,Ab SBJ.N1 GO-INTR,1
307,2,production,OBJ.N5 Ab SBJ.N3 HIDE-TR,0
308,2,production,OBJ.N5 SBJ.N2 REVEAL-TR LOC.N4,0
309,2,production,Ab SBJ.N5 JUMP-INTR,0
310,2,production,SBJ.N3 HIDE-INTR LOC.N5,2
311,2,production,SBJ.N3 GO-INTR LOC.N4,0
312,2,production,SBJ.N4 JUMP-INTR LOC.N3,0
313,2,production,OBJ.N5 SBJ.N1 PUSH-TR LOC.N3,0
314,2,production,OBJ.N5 Ab SBJ.N1 REVEAL-TR,1
315,2,production,Ab OBJ.N5 Ab SBJ.N1 REVEAL-TR LOC.N2,0
316,2,production,SBJ.N1 REVEAL-INTR LOC.N5,1
317,2,production,OBJ.N5 SBJ.N1 HIDE-TR Ab LOC.N4,0
318,2,production,Ab SBJ.N1 REVEAL-INTR LOC.N5,0
319,2,production,OBJ.N5 Ab SBJ.N4 REVEAL-TR Ab LOC.N1,0
320,2,production,Ab SBJ.N2 REVEAL-INTR LOC.N3,0
321,2,production,OBJ.N5 SBJ.N1 PUSH-TR,4
322,2,production,SBJ.N2 GO-INTR,4
323,2,production,OBJ.N5 SBJ.N3 HIDE-TR LOC.N1,0
324,2,production,Ab OBJ.N5 Aa SBJ.N5 REVEAL-TR,0
325,2,production,Ab SBJ.N1 HIDE-INTR,1
326,2,production,OBJ.N5 SBJ.N4 PUSH-TR,5
327,2,production,Ab OBJ.N5 Ab SBJ.N3 HIDE-TR Ab LOC.N1,0
328,2,production,Ab SBJ.N3 JUMP-INTR,0
329,2,production,SBJ.N5 GO-INTR,3
330,2,production,Aa SBJ.N2 HIDE-INTR Ab LOC.N5,0
331,2,production,Ab SBJ.N1 JUMP-INTR Aa LOC.N4,0
332,2,production,Aa SBJ.N1 JUMP-INTR LOC.N4,0
333,2,production,OBJ.N5 SBJ.N4 PUSH-TR Ab LOC.N3,0
334,2,production,Ab OBJ.N5 Ab SBJ.N1 REVEAL-TR,0
375,3,passive,OBJ.N5 SBJ.N1 PUSH-TR Ab LOC.N2,0
376,3,passive,Ab SBJ.N4 REVEAL-INTR LOC.N5,0
377,3,passive,OBJ.N5 SBJ.N2 HIDE-TR Ab LOC.N4,0
378,3,passive,Ab SBJ.N4 REVEAL-INTR Ab LOC.N5,1
379,3,passive,OBJ.N5 Ab SBJ.N4 REVEAL-TR Ab LOC.N1,1
380,3,passive,SBJ.N3 REVEAL-INTR Ab LOC.N2,0
381,3,passive,OBJ.N5 SBJ.N4 HIDE-TR Ab LOC.N2,0
382,3,passive,Ab SBJ.N2 HIDE-INTR,1
383,3,passive,SBJ.N5 REVEAL-INTR Ab LOC.N4,0
384,3,passive,OBJ.N5 Ab SBJ.N1 PUSH-TR,1
385,3,passive,SBJ.N5 REVEAL-INTR Ab LOC.N3,0
386,3,passive,OBJ.N5 Ab SBJ.N4 REVEAL-TR LOC.N3,0
387,3,passive,SBJ.N3 JUMP-INTR,7
388,3,passive,Ab OBJ.N5 Ab SBJ.N3 REVEAL-TR,0
389,3,passive,OBJ.N5 Ab SBJ.N4 PUSH-TR Ab LOC.N2,1
390,3,passive,Ab SBJ.N3 REVEAL-INTR LOC.N4,0
391,3,passive,Ab SBJ.N2 GO-INTR,1
392,3,passive,OBJ.N5 SBJ.N2 HIDE-TR,2
393,3,passive,Ab OBJ.N5 Ab SBJ.N1 REVEAL-TR,1
394,3,passive,OBJ.N5 Ab SBJ.N4 PUSH-TR LOC.N3,0
395,3,passive,SBJ.N1 GO-INTR,5
396,3,passive,Ab OBJ.N5 SBJ.N1 HIDE-TR,0
397,3,passive,OBJ.N5 Ab SBJ.N3 HIDE-TR LOC.N4,0
398,3,passive,Ab SBJ.N2 HIDE-INTR,2
399,3,passive,Ab OBJ.N5 SBJ.N2 REVEAL-TR Ab LOC.N1,0
400,3,passive,Ab SBJ.N1 JUMP-INTR,0
401,3,passive,OBJ.N5 SBJ.N2 PUSH-TR,6
402,3,passive,Ab SBJ.N4 JUMP-INTR,2
403,3,passive,Ab OBJ.N5 Ab SBJ.N2 REVEAL-TR,0
404,3,passive,OBJ.N5 SBJ.N2 PUSH-TR LOC.N4,4
405,3,passive,OBJ.N5 Ab SBJ.N2 HIDE-TR Ab LOC.N3,0
406,3,passive,Ab SBJ.N3 GO-INTR,0
407,3,passive,SBJ.N5 HIDE-INTR,3
408,3,passive,Ab SBJ.N5 HIDE-INTR LOC.N2,0
409,3,passive,SBJ.N3 JUMP-INTR Aa LOC.N4,0
410,3,passive,Ab SBJ.N5 GO-INTR Aa LOC.N3,0
411,3,passive,Ab SBJ.N4 HIDE-INTR Aa LOC.N3,0
412,3,passive,Aa SBJ.N1 GO-INTR Aa LOC.N4,0
413,3,passive,Ab SBJ.N1 JUMP-INTR LOC.N4,0
414,3,passive,Ab OBJ.N5 Ab SBJ.N3 REVEAL-TR,1
415,3,passive,Ab OBJ.N5 SBJ.N4 PUSH-TR LOC.N2,0
416,3,passive,Ab OBJ.N5 SBJ.N4 REVEAL-TR,1
417,3,comprehension,Ab SBJ.N3 REVEAL-INTR Ab LOC.N2,0
418,3,comprehension,OBJ.N5 Ab SBJ.N3 PUSH-TR Ab LOC.N2,0
419,3,comprehension,SBJ.N5 REVEAL-INTR LOC.N4,2
420,3,comprehension,OBJ.N5 SBJ.N1 REVEAL-TR Ab LOC.N4,0
421,3,comprehension,Ab SBJ.N4 REVEAL-INTR LOC.N5,1
422,3,comprehension,Ab OBJ.N5 Ab SBJ.N2 HIDE-TR LOC.N4,1
423,3,comprehension,OBJ.N5 SBJ.N1 REVEAL-TR Ab LOC.N2,0
424,3,comprehension,Ab OBJ.N5 Ab SBJ.N4 PUSH-TR,0
425,3,comprehension,Ab SBJ.N3 REVEAL-INTR LOC.N5,0
426,3,comprehension,SBJ.N3 JUMP-INTR,8
427,3,comprehension,Ab SBJ.N5 HIDE-INTR,2
428,3,comprehension,SBJ.N2 REVEAL-INTR Ab LOC.N3,0
429,3,comprehension,Ab OBJ.N5 Ab SBJ.N3 HIDE-TR LOC.N4,0
430,3,comprehension,Ab OBJ.N5 Ab SBJ.N2 HIDE-TR,0
431,3,comprehension,Ab SBJ.N2 GO-INTR,2
432,3,comprehension,SBJ.N5 REVEAL-INTR Ab LOC.N4,1
433,3,comprehension,OBJ.N5 SBJ.N2 PUSH-TR,7
434,3,comprehension,Ab OBJ.N5 SBJ.N1 REVEAL-TR Ab LOC.N2,0
435,3,comprehension,SBJ.N1 HIDE-INTR,3
436,3,comprehension,Ab OBJ.N5 Ab SBJ.N1 HIDE-TR,0
437,3,comprehension,OBJ.N5 Ab SBJ.N1 REVEAL-TR Ab LOC.N2,0
438,3,comprehension,Ab OBJ.N5 Ab SBJ.N4 PUSH-TR,1
439,3,comprehension,OBJ.N5 Ab SBJ.N3 REVEAL-TR Ab LOC.N1,0
440,3,comprehension,Ab SBJ.N3 JUMP-INTR,1
441,3,comprehension,OBJ.N5 SBJ.N4 PUSH-TR LOC.N2,3
442,3,comprehension,Ab OBJ.N5 SBJ.N3 HIDE-TR,0
443,3,comprehension,SBJ.N1 GO-INTR,6
444,3,comprehension,SBJ.N5 HIDE-INTR,4
445,3,comprehension,Ab OBJ.N5 SBJ.N4 REVEAL-TR,2
446,3,comprehension,Ab OBJ.N5 Ab SBJ.N3 PUSH-TR LOC.N2,0
447,3,comprehension,Ab OBJ.N5 SBJ.N2 HIDE-TR,3
448,3,comprehension,SBJ.N3 JUMP-INTR,9
449,3,comprehension,SBJ.N1 GO-INTR,7
450,3,comprehension,Aa SBJ.N5 GO-INTR LOC.N4,0
451,3,comprehension,SBJ.N3 JUMP-INTR Aa LOC.N1,0
452,3,comprehension,SBJ.N1 HIDE-INTR Ab LOC.N3,0
453,3,comprehension,Ab SBJ.N5 JUMP-INTR LOC.N1,0
454,3,comprehension,Aa SBJ.N5 GO-INTR Aa LOC.N2,0
455,3,comprehension,SBJ.N1 HIDE-INTR Ab LOC.N4,0
456,3,comprehension,OBJ.N5 Ab SBJ.N1 REVEAL-TR Ab LOC.N3,1
457,3,comprehension,Ab OBJ.N5 Ab SBJ.N3 HIDE-TR Ab LOC.N4,0
458,3,comprehension,Ab OBJ.N5 SBJ.N4 HIDE-TR,0
459,3,production,Ab OBJ.N5 Ab SBJ.N2 REVEAL-TR LOC.N1,0
460,3,production,Ab SBJ.N2 REVEAL-INTR Ab LOC.N5,0
461,3,production,Ab SBJ.N5 REVEAL-INTR LOC.N2,0
462,3,production,OBJ.N5 Ab SBJ.N3 HIDE-TR LOC.N4,1
463,3,production,OBJ.N5 Ab SBJ.N3 PUSH-TR Ab LOC.N4,0
464,3,production,Ab SBJ.N5 REVEAL-INTR Ab LOC.N2,0
465,3,production,OBJ.N5 SBJ.N3 HIDE-TR Ab LOC.N2,0
466,3,production,SBJ.N3 REVEAL-INTR Ab LOC.N2,1
467,3,production,Ab OBJ.N5 Ab SBJ.N3 REVEAL-TR,2
468,3,production,SBJ.N4 JUMP-INTR,2
469,3,production,Ab SBJ.N3 REVEAL-INTR LOC.N4,1
470,3,production,SBJ.N1 GO-INTR,8
471,3,production,Ab OBJ.N5 Ab SBJ.N4 PUSH-TR,2
472,3,production,Ab OBJ.N5 Ab SBJ.N3 REVEAL-TR Ab LOC.N4,0
473,3,production,Ab OBJ.N5 Ab SBJ.N1 PUSH-TR LOC.N2,0
474,3,production,Ab OBJ.N5 SBJ.N1 HIDE-TR,1
475,3,production,SBJ.N5 REVEAL-INTR LOC.N3,3
476,3,production,Ab SBJ.N5 HIDE-INTR,3
477,3,production,Ab SBJ.N2 GO-INTR,3
478,3,production,Ab OBJ.N5 Ab SBJ.N3 REVEAL-TR,3
479,3,production,OBJ.N5 SBJ.N4 HIDE-TR Ab LOC.N2,1
480,3,production,Aa SBJ.N5 JUMP-INTR,1
481,3,production,Ab OBJ.N5 SBJ.N3 PUSH-TR Ab LOC.N1,0
482,3,production,OBJ.N5 Ab SBJ.N1 REVEAL-TR,2
483,3,production,OBJ.N5 SBJ.N1 HIDE-TR,3
